"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"5.5",19.97,4526.59999999963,"complex","1","117",78,"1","D~1.0"
"3.5",76.19,8615,"complex","0.66667","117",78,"1.6","D~1.6"
"4",83.33,2231,"complex","0.5","117",78,"1.4","D~1.4"
"3.5",48.15,9237.29999999981,"relaxing","2","314",78,"1.6","D~1.6"
"4.5",39.68,6303,"relaxing","1","117",78,"1.2","D~1.2"
"4.5",34.39,4326.59999999963,"relaxing","0.66667","314",78,"1.2","D~1.2"
"4.5",68,6294.79999999981,"relaxing","2","117",78,"1.2","D~1.2"
"5.5",100,7574.79999999981,"relaxing","1.5","314",78,"1","D~1.0"
"4",15.74,2731.5,"relaxing","0.5","117",78,"1.4","D~1.4"
"4",17.33,4311.5,"relaxing","1.5","238",78,"1.4","D~1.4"
"3.5",1.98,7134.59999999963,"relaxing","0.5","238",78,"1.6","D~1.6"
"2.5",0,2774.39999999944,"relaxing","0.5","117",78,"1.8","D~1.8"
"4.5",86.9,4230.89999999944,"relaxing","1.5","117",78,"1.2","D~1.2"
"4",50.4,4918.60000000056,"relaxing","2","238",78,"1.4","D~1.4"
"2.5",0.13,3393.20000000019,"relaxing","1","238",78,"1.8","D~1.8"
"5.5",100,5268.19999999925,"relaxing","0.66667","314",78,"1","D~1.0"
"2.5",0,4014.5,"relaxing","0.5","314",78,"1.8","D~1.8"
"3.5",22.62,5447.10000000056,"relaxing","1","314",78,"1.6","D~1.6"
"3.5",6.75,2359.59999999963,"relaxing","0.5","117",78,"1.6","D~1.6"
"5.5",97,10336.1000000006,"relaxing","1","117",78,"1","D~1.0"
"5.5",100,5524,"relaxing","2","117",78,"1","D~1.0"
"4",62.43,6958,"relaxing","2","314",78,"1.4","D~1.4"
"4.5",46.3,2886.79999999981,"relaxing","0.66667","238",78,"1.2","D~1.2"
"2.5",0,3058,"relaxing","1","314",78,"1.8","D~1.8"
"4",19.31,4435.80000000075,"relaxing","1.5","117",78,"1.4","D~1.4"
"4.5",50,6455,"relaxing","1","314",78,"1.2","D~1.2"
"4",19.18,2958.90000000037,"relaxing","0.66667","314",78,"1.4","D~1.4"
"2.5",0,4730.79999999981,"relaxing","2","238",78,"1.8","D~1.8"
"3.5",23.54,4317.40000000037,"relaxing","1","117",78,"1.6","D~1.6"
"4",25.4,5437,"relaxing","1","314",78,"1.4","D~1.4"
"5.5",100,11150.9000000004,"relaxing","2","238",78,"1","D~1.0"
"5.5",98,8508.69999999925,"relaxing","1","314",78,"1","D~1.0"
"3.5",20.11,6965.70000000019,"relaxing","0.66667","117",78,"1.6","D~1.6"
"2.5",0.4,3078.60000000056,"relaxing","1.5","238",78,"1.8","D~1.8"
"2.5",0,2697.79999999981,"relaxing","2","117",78,"1.8","D~1.8"
"4.5",59.26,4347.5,"relaxing","0.5","117",78,"1.2","D~1.2"
"2.5",0.4,2799.09999999963,"relaxing","0.66667","117",78,"1.8","D~1.8"
"3.5",14.68,2671.59999999963,"relaxing","1.5","117",78,"1.6","D~1.6"
"4.5",71,4631,"relaxing","1.5","314",78,"1.2","D~1.2"
"4.5",61.77,2878.5,"relaxing","2","314",78,"1.2","D~1.2"
"2.5",0,3255.69999999925,"relaxing","0.5","238",78,"1.8","D~1.8"
"4",7,4208.30000000075,"relaxing","0.5","314",78,"1.4","D~1.4"
"4",14.15,2726,"relaxing","1.5","314",78,"1.4","D~1.4"
"4",13.62,3198.79999999981,"relaxing","0.66667","238",78,"1.4","D~1.4"
"3.5",4.63,2574.5,"relaxing","0.5","314",78,"1.6","D~1.6"
"4",4.63,2815.09999999963,"relaxing","1","117",78,"1.4","D~1.4"
"4.5",51,8567.29999999981,"relaxing","2","238",78,"1.2","D~1.2"
"5.5",84,6580.5,"relaxing","0.5","238",78,"1","D~1.0"
"5.5",97,5649.29999999981,"relaxing","0.5","117",78,"1","D~1.0"
"4",26.85,3686.40000000037,"relaxing","0.5","238",78,"1.4","D~1.4"
"5.5",100,6926.40000000037,"relaxing","1.5","238",78,"1","D~1.0"
"3.5",29.37,4038.30000000075,"relaxing","0.66667","314",78,"1.6","D~1.6"
"3.5",18.12,3015,"relaxing","1.5","314",78,"1.6","D~1.6"
"4.5",54.63,2935,"relaxing","1","238",78,"1.2","D~1.2"
"2.5",0,2966.90000000037,"relaxing","2","314",78,"1.8","D~1.8"
"2.5",0,3463.10000000056,"relaxing","0.66667","314",78,"1.8","D~1.8"
"2.5",0,2550.90000000037,"relaxing","1.5","117",78,"1.8","D~1.8"
"3.5",22.75,2446.90000000037,"relaxing","2","117",78,"1.6","D~1.6"
"5.5",100,7935.09999999963,"relaxing","1","238",78,"1","D~1.0"
"5.5",100,8252.10000000056,"relaxing","1.5","117",78,"1","D~1.0"
"4.5",74,4417.20000000019,"relaxing","0.66667","117",78,"1.2","D~1.2"
"4.5",54.89,3156.40000000037,"relaxing","1.5","238",78,"1.2","D~1.2"
"2.5",0.13,3230.79999999981,"relaxing","1","117",78,"1.8","D~1.8"
"4",18.78,2241.09999999963,"relaxing","2","117",78,"1.4","D~1.4"
"5.5",82.01,4615,"relaxing","0.5","314",78,"1","D~1.0"
"4",54.23,4131.60000000056,"relaxing","1","238",78,"1.4","D~1.4"
"4",28.04,1991.79999999981,"relaxing","0.66667","117",78,"1.4","D~1.4"
"4.5",34.92,4558.80000000075,"relaxing","0.5","238",78,"1.2","D~1.2"
"3.5",16.01,3951,"relaxing","2","238",78,"1.6","D~1.6"
"4.5",25.66,5054.60000000056,"relaxing","0.5","314",78,"1.2","D~1.2"
"3.5",9.92,5526.89999999944,"relaxing","1","238",78,"1.6","D~1.6"
"2.5",0,3310.79999999981,"relaxing","0.66667","238",78,"1.8","D~1.8"
"5.5",81,7103.20000000019,"relaxing","0.66667","117",78,"1","D~1.0"
"5.5",92.99,4703.5,"relaxing","0.66667","238",78,"1","D~1.0"
"2.5",0,4924.70000000019,"relaxing","1.5","314",78,"1.8","D~1.8"
"3.5",6.61,5013.70000000019,"relaxing","1.5","238",78,"1.6","D~1.6"
"5.5",100,7515.90000000037,"relaxing","2","314",78,"1","D~1.0"
"3.5",21.69,3631.5,"relaxing","0.66667","238",78,"1.6","D~1.6"
"5.5",95,10678.2999999998,"natural","2","314",78,"1","D~1.0"
"4.5",50.53,8710.10000000056,"natural","2","117",78,"1.2","D~1.2"
"5.5",100,5463.59999999963,"natural","0.66667","314",78,"1","D~1.0"
"3.5",36.64,6654.20000000019,"natural","1.5","238",78,"1.6","D~1.6"
"4",92.59,5393.89999999944,"natural","1.5","238",78,"1.4","D~1.4"
"2.5",4.5,4123,"natural","2","117",78,"1.8","D~1.8"
"4",61,9479,"natural","1.5","314",78,"1.4","D~1.4"
"4",21.69,5675.90000000037,"natural","1","117",78,"1.4","D~1.4"
"2.5",0,10381.7000000002,"natural","0.66667","238",78,"1.8","D~1.8"
"2.5",0,11165,"natural","0.5","314",78,"1.8","D~1.8"
"5.5",90.74,8740.20000000019,"natural","2","117",78,"1","D~1.0"
"5.5",96,4950.10000000056,"natural","1.5","117",78,"1","D~1.0"
"5.5",100,4322.09999999963,"natural","1.5","314",78,"1","D~1.0"
"3.5",76.98,4998.20000000019,"natural","2","117",78,"1.6","D~1.6"
"3.5",48.54,4667.20000000019,"natural","1","117",78,"1.6","D~1.6"
"5.5",93.25,8014.5,"natural","1","314",78,"1","D~1.0"
"3.5",21.56,12913.5,"natural","1","238",78,"1.6","D~1.6"
"4.5",100,6649.29999999981,"natural","2","314",78,"1.2","D~1.2"
"2.5",0.93,3315.70000000019,"natural","1.5","314",78,"1.8","D~1.8"
"4.5",98,3620.89999999944,"natural","1","314",78,"1.2","D~1.2"
"4",89.95,26862.4000000004,"natural","2","117",78,"1.4","D~1.4"
"4.5",90.74,12103.2000000002,"natural","2","238",78,"1.2","D~1.2"
"4",35.32,3359.09999999963,"natural","0.5","314",78,"1.4","D~1.4"
"2.5",0,3774.59999999963,"natural","0.66667","314",78,"1.8","D~1.8"
"5.5",71.16,4214.40000000037,"natural","0.5","117",78,"1","D~1.0"
