"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4.5",17.2,8364.80000001192,"complex","1.5","314",51,"1.2","D~1.2"
"2.5",24.34,4413.90000003576,"complex","1.5","117",51,"1.8","D~1.8"
"5.5",16.27,6231,"complex","1.5","314",51,"1","D~1.0"
"3.5",25.4,3670.80000001192,"complex","0.66667","314",51,"1.6","D~1.6"
"4",25.26,5007.59999996424,"complex","1","314",51,"1.4","D~1.4"
"4.5",23.94,4455.19999998808,"complex","1","314",51,"1.2","D~1.2"
"3.5",24.21,4086.79999995232,"complex","2","117",51,"1.6","D~1.6"
"3.5",29.63,4687.5,"complex","0.66667","117",51,"1.6","D~1.6"
"4.5",24.6,3430.69999998808,"complex","0.66667","314",51,"1.2","D~1.2"
"3.5",30.69,3647.30000001192,"complex","0.5","117",51,"1.6","D~1.6"
"4.5",21.69,5391.20000004768,"complex","0.66667","117",51,"1.2","D~1.2"
"4",24.87,7254.89999997616,"complex","0.5","117",51,"1.4","D~1.4"
"5.5",23.68,20927.5,"complex","1","238",51,"1","D~1.0"
"4",20.11,9269.59999996424,"complex","0.5","238",51,"1.4","D~1.4"
"5.5",23,43015.1000000238,"complex","1.5","117",51,"1","D~1.0"
"2.5",51.19,6591.60000002384,"complex","0.5","314",51,"1.8","D~1.8"
"4.5",52.38,9710.69999998808,"complex","2","238",51,"1.2","D~1.2"
"5.5",24.74,12046.8999999762,"complex","0.66667","238",51,"1","D~1.0"
"2.5",28.44,9991.60000002384,"complex","1","238",51,"1.8","D~1.8"
"5.5",51.06,12135.4000000358,"complex","0.5","117",51,"1","D~1.0"
"3.5",27.78,19910.5,"complex","0.5","314",51,"1.6","D~1.6"
"4.5",17.59,7967.10000002384,"complex","2","314",51,"1.2","D~1.2"
"4",73.02,9319.80000001192,"complex","2","117",51,"1.4","D~1.4"
"5.5",36.51,14550.1000000238,"complex","2","117",51,"1","D~1.0"
"5.5",24.87,11839.1999999881,"complex","1.5","238",51,"1","D~1.0"
"3.5",24.21,4679.09999996424,"complex","1.5","238",51,"1.6","D~1.6"
"5.5",44.97,15671.0999999642,"complex","1","314",51,"1","D~1.0"
"3.5",56.61,13807.5,"complex","1","117",51,"1.6","D~1.6"
"4.5",61.11,5998.60000002384,"complex","0.5","314",51,"1.2","D~1.2"
"2.5",40,6815.40000003576,"complex","0.66667","314",51,"1.8","D~1.8"
"5.5",38,6111.69999998808,"complex","0.5","238",51,"1","D~1.0"
"4.5",37.83,3310.10000002384,"complex","1","238",51,"1.2","D~1.2"
"2.5",24.87,3031.5,"complex","0.66667","117",51,"1.8","D~1.8"
"3.5",54.1,6903.20000004768,"complex","2","314",51,"1.6","D~1.6"
"3.5",53.84,9751.19999998808,"complex","1","238",51,"1.6","D~1.6"
"5.5",61.24,9359.10000002384,"complex","2","314",51,"1","D~1.0"
"4",42.2,7423.5,"complex","0.66667","117",51,"1.4","D~1.4"
"4",16.4,8878.60000002384,"complex","2","314",51,"1.4","D~1.4"
