"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"3.5",85.58,14268.900000006,"complex","1.5","238",65,"1.6","D~1.6"
"3.5",87.17,26749.700000003,"complex","2","314",65,"1.6","D~1.6"
"4.5",46.3,12135.5,"complex","0.5","117",65,"1.2","D~1.2"
"4",61.64,11815.5,"complex","0.5","314",65,"1.4","D~1.4"
"5.5",14.68,5135.09999999404,"complex","1.5","238",65,"1","D~1.0"
"4.5",45.11,8574.39999999106,"complex","1.5","238",65,"1.2","D~1.2"
"4",90.48,8735.70000000298,"complex","0.66667","117",65,"1.4","D~1.4"
"3.5",99,10549.3999999911,"complex","1","314",65,"1.6","D~1.6"
"4.5",70.11,7270.20000000298,"complex","1.5","314",65,"1.2","D~1.2"
"4",79.63,23014.900000006,"complex","1.5","117",65,"1.4","D~1.4"
"4.5",36.9,10415.099999994,"complex","1","117",65,"1.2","D~1.2"
"3.5",92.59,6535.40000000596,"complex","1.5","314",65,"1.6","D~1.6"
"4",95,5582.90000000596,"complex","0.5","238",65,"1.4","D~1.4"
"2.5",100,3559.29999999702,"complex","1.5","117",65,"1.8","D~1.8"
"4.5",75,7863.5,"complex","0.5","314",65,"1.2","D~1.2"
"4",78.84,17614.8999999911,"complex","0.66667","314",65,"1.4","D~1.4"
"2.5",100,5119.20000000298,"complex","1.5","314",65,"1.8","D~1.8"
"4",30,9327,"complex","2","238",65,"1.4","D~1.4"
"5.5",40,14679,"complex","0.5","117",65,"1","D~1.0"
"4.5",50,20135.5,"complex","0.66667","117",65,"1.2","D~1.2"
"2.5",100,5719,"complex","0.66667","238",65,"1.8","D~1.8"
"4.5",38.1,12575,"complex","2","117",65,"1.2","D~1.2"
"2.5",100,4462.69999998808,"complex","0.66667","117",65,"1.8","D~1.8"
"3.5",95,9447.09999999404,"complex","1.5","117",65,"1.6","D~1.6"
"5.5",15.48,15297.099999994,"complex","0.66667","238",65,"1","D~1.0"
"2.5",100,5853.10000000894,"complex","2","314",65,"1.8","D~1.8"
"3.5",80.16,15647,"complex","0.5","314",65,"1.6","D~1.6"
"4",59.66,10943.700000003,"complex","1","117",65,"1.4","D~1.4"
"2.5",96,8222.79999999702,"complex","1","314",65,"1.8","D~1.8"
"3.5",82.54,5367.09999999404,"complex","0.66667","117",65,"1.6","D~1.6"
"4.5",39.68,12119.5,"complex","1.5","117",65,"1.2","D~1.2"
"3.5",65.34,7278.79999999702,"complex","2","117",65,"1.6","D~1.6"
"4.5",24.6,12191.299999997,"complex","0.5","238",65,"1.2","D~1.2"
"4.5",45.24,21742.5,"complex","0.66667","238",65,"1.2","D~1.2"
"2.5",97,10608,"complex","2","238",65,"1.8","D~1.8"
"5.5",15.21,10102.1000000089,"complex","0.66667","117",65,"1","D~1.0"
"4",41.53,10166.5,"complex","1.5","238",65,"1.4","D~1.4"
"5.5",10.45,5383.30000001192,"complex","0.5","238",65,"1","D~1.0"
"3.5",84.26,9191,"complex","1","238",65,"1.6","D~1.6"
"3.5",89.81,6822.70000000298,"complex","1","117",65,"1.6","D~1.6"
"2.5",100,4239.39999999106,"complex","1","238",65,"1.8","D~1.8"
"4.5",56,14558.599999994,"complex","0.66667","314",65,"1.2","D~1.2"
"4.5",46.03,10183.5,"complex","1","238",65,"1.2","D~1.2"
"3.5",75.4,5415.10000000894,"complex","0.66667","314",65,"1.6","D~1.6"
"5.5",3.97,6014.90000000596,"complex","2","314",65,"1","D~1.0"
"3.5",96,6518.90000000596,"complex","0.5","238",65,"1.6","D~1.6"
"2.5",100,16783.400000006,"complex","1.5","238",65,"1.8","D~1.8"
"3.5",79.76,4518.79999999702,"complex","2","238",65,"1.6","D~1.6"
"5.5",0.93,7342.90000000596,"complex","1","238",65,"1","D~1.0"
"5.5",20.11,8254.79999999702,"complex","0.66667","314",65,"1","D~1.0"
"4",50.13,9510.79999999702,"complex","2","117",65,"1.4","D~1.4"
"4",50.13,5326.39999999106,"complex","2","314",65,"1.4","D~1.4"
"5.5",9.79,6966.89999999106,"complex","1","314",65,"1","D~1.0"
"3.5",91.93,11959.5,"complex","0.66667","238",65,"1.6","D~1.6"
"4",87.43,10510.5,"complex","1","238",65,"1.4","D~1.4"
"4",93,7424.79999999702,"complex","0.66667","238",65,"1.4","D~1.4"
"5.5",8.2,6916.59999999404,"complex","1.5","117",65,"1","D~1.0"
"2.5",100,5927.29999999702,"complex","1","117",65,"1.8","D~1.8"
"5.5",15,15446.799999997,"complex","1","117",65,"1","D~1.0"
"5.5",12,8646.90000000596,"complex","2","238",65,"1","D~1.0"
"3.5",95,5295.10000000894,"complex","0.5","117",65,"1.6","D~1.6"
"4",80.03,6430.70000000298,"complex","1.5","314",65,"1.4","D~1.4"
"4",89.68,3855.5,"complex","0.5","117",65,"1.4","D~1.4"
"5.5",49.87,5383.19999998808,"complex","0.5","314",65,"1","D~1.0"
"2.5",100,5110.79999999702,"complex","0.5","238",65,"1.8","D~1.8"
"4",74.74,7062.70000000298,"complex","1","314",65,"1.4","D~1.4"
"4.5",59.92,6760,"complex","2","314",65,"1.2","D~1.2"
"5.5",12,13270.400000006,"complex","2","117",65,"1","D~1.0"
"4.5",64.81,19514,"complex","1","314",65,"1.2","D~1.2"
"2.5",100,4972,"complex","0.5","314",65,"1.8","D~1.8"
"2.5",99,3935.09999999404,"complex","0.66667","314",65,"1.8","D~1.8"
"2.5",100,4942.29999999702,"complex","2","117",65,"1.8","D~1.8"
"2.5",100,4471.40000000596,"complex","0.5","117",65,"1.8","D~1.8"
"5.5",20,9073.39999999106,"complex","1.5","314",65,"1","D~1.0"
"4.5",29.63,5182.90000000596,"complex","2","238",65,"1.2","D~1.2"
"4",10.19,11516.200000003,"relaxing","0.66667","238",65,"1.4","D~1.4"
"3.5",5.42,5041.59999999404,"relaxing","0.66667","314",65,"1.6","D~1.6"
"4.5",40,15931.6000000089,"relaxing","1.5","238",65,"1.2","D~1.2"
"2.5",0,9391.40000000596,"relaxing","0.5","117",65,"1.8","D~1.8"
"4",9.79,4567,"relaxing","1","117",65,"1.4","D~1.4"
"4.5",4.5,4646.60000000894,"relaxing","0.5","314",65,"1.2","D~1.2"
"4",29.76,5025,"relaxing","2","238",65,"1.4","D~1.4"
"5.5",74.87,7132.20000000298,"relaxing","2","117",65,"1","D~1.0"
"4",42.72,11342.900000006,"relaxing","2","314",65,"1.4","D~1.4"
"2.5",0.4,3215,"relaxing","0.5","238",65,"1.8","D~1.8"
"4.5",32.54,5174.39999999106,"relaxing","1.5","117",65,"1.2","D~1.2"
"4.5",22.22,7030.89999999106,"relaxing","1","238",65,"1.2","D~1.2"
"4.5",15.21,5071.5,"relaxing","1","117",65,"1.2","D~1.2"
"5.5",29.5,16351,"relaxing","0.66667","117",65,"1","D~1.0"
"4",18.39,11822,"relaxing","1","314",65,"1.4","D~1.4"
"2.5",0,4318.90000000596,"relaxing","1.5","314",65,"1.8","D~1.8"
"3.5",8.6,6167.30000001192,"relaxing","1.5","238",65,"1.6","D~1.6"
"3.5",2.12,3310.5,"relaxing","0.5","314",65,"1.6","D~1.6"
"4",20.5,5591.5,"relaxing","2","117",65,"1.4","D~1.4"
"4.5",30.42,7463,"relaxing","2","117",65,"1.2","D~1.2"
"2.5",0.13,4758.40000000596,"relaxing","1","238",65,"1.8","D~1.8"
"4.5",4.89,6366.89999999106,"relaxing","0.5","238",65,"1.2","D~1.2"
"5.5",80.03,9255.20000000298,"relaxing","0.66667","314",65,"1","D~1.0"
"4",3.57,5551.20000000298,"relaxing","0.5","314",65,"1.4","D~1.4"
"2.5",0,2494.80000001192,"relaxing","0.66667","117",65,"1.8","D~1.8"
"2.5",1.32,3671.19999998808,"relaxing","1.5","238",65,"1.8","D~1.8"
"4",9.13,4110.70000000298,"relaxing","0.66667","314",65,"1.4","D~1.4"
"5.5",39.95,7399.20000000298,"relaxing","0.5","314",65,"1","D~1.0"
"3.5",21.83,9030.59999999404,"relaxing","2","238",65,"1.6","D~1.6"
"2.5",0.13,9112.59999999404,"relaxing","0.66667","238",65,"1.8","D~1.8"
"3.5",2.65,9429.60000000894,"relaxing","0.5","238",65,"1.6","D~1.6"
"3.5",8,4814.79999999702,"relaxing","1","238",65,"1.6","D~1.6"
"5.5",71,11693.200000003,"relaxing","1","314",65,"1","D~1.0"
"3.5",15.34,11321.1000000089,"relaxing","2","314",65,"1.6","D~1.6"
"4",22,30476.700000003,"relaxing","1.5","314",65,"1.4","D~1.4"
"2.5",0,2910.90000000596,"relaxing","2","314",65,"1.8","D~1.8"
"5.5",90.21,6144.09999999404,"relaxing","1","238",65,"1","D~1.0"
"5.5",96,5373.29999999702,"relaxing","1.5","314",65,"1","D~1.0"
"4.5",44.71,8446.90000000596,"relaxing","0.66667","314",65,"1.2","D~1.2"
"5.5",80,12431.1000000089,"relaxing","0.66667","238",65,"1","D~1.0"
"3.5",4.89,4287,"relaxing","0.66667","117",65,"1.6","D~1.6"
"4",2.25,3198.70000000298,"relaxing","0.5","117",65,"1.4","D~1.4"
"5.5",94.97,11311,"relaxing","2","314",65,"1","D~1.0"
"4.5",60.19,11934.799999997,"relaxing","1.5","314",65,"1.2","D~1.2"
"4",19.58,5557,"relaxing","1","238",65,"1.4","D~1.4"
"2.5",0,3582.40000000596,"relaxing","1.5","117",65,"1.8","D~1.8"
"4.5",4.23,6071.40000000596,"relaxing","0.5","117",65,"1.2","D~1.2"
"5.5",26.98,4846.60000000894,"relaxing","0.5","117",65,"1","D~1.0"
"4",19.58,6279,"relaxing","1.5","238",65,"1.4","D~1.4"
"2.5",0,3864.40000000596,"relaxing","1","314",65,"1.8","D~1.8"
"2.5",2.12,3197.20000000298,"relaxing","2","117",65,"1.8","D~1.8"
"3.5",11.9,4702.70000000298,"relaxing","1","314",65,"1.6","D~1.6"
"3.5",7.41,6111,"relaxing","2","117",65,"1.6","D~1.6"
"4",5.69,14550.5,"relaxing","0.5","238",65,"1.4","D~1.4"
