"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",25,17420.900000006,"complex","0.66667","314",98,"1.8","D~1.8"
"3.5",41.01,22006.299999997,"complex","0.66667","238",98,"1.6","D~1.6"
"3.5",50.26,5927.59999999404,"complex","1","117",98,"1.6","D~1.6"
"2.5",77.12,9237,"complex","1.5","117",98,"1.8","D~1.8"
"3.5",36.77,3887.20000000298,"complex","1","238",98,"1.6","D~1.6"
"4.5",43.52,34111.099999994,"complex","0.5","314",98,"1.2","D~1.2"
"4.5",0,7151.29999999702,"complex","1","314",98,"1.2","D~1.2"
"4.5",0.4,10846.6000000089,"complex","2","314",98,"1.2","D~1.2"
"4",46,8470.79999999702,"complex","0.5","314",98,"1.4","D~1.4"
"4",16,17254.799999997,"complex","0.66667","238",98,"1.4","D~1.4"
"4.5",19.58,10903.6999999881,"complex","1","117",98,"1.2","D~1.2"
"2.5",64,23687.200000003,"complex","0.5","314",98,"1.8","D~1.8"
"5.5",6,15390.6000000089,"complex","0.5","117",98,"1","D~1.0"
"4.5",6.35,5560,"complex","0.66667","314",98,"1.2","D~1.2"
"3.5",92,7206.79999999702,"complex","0.66667","117",98,"1.6","D~1.6"
"4",5.16,9262.89999999106,"complex","2","117",98,"1.4","D~1.4"
"2.5",90.87,3415.59999999404,"complex","0.66667","238",98,"1.8","D~1.8"
"3.5",48.54,3271.59999999404,"complex","1.5","238",98,"1.6","D~1.6"
"4",70,12271.299999997,"complex","0.5","238",98,"1.4","D~1.4"
"3.5",48.15,5351.19999998808,"complex","1.5","117",98,"1.6","D~1.6"
"4",28.31,6031.09999999404,"complex","1","314",98,"1.4","D~1.4"
"5.5",0.53,11567.5,"complex","1","238",98,"1","D~1.0"
"2.5",98,7581.70000000298,"complex","2","238",98,"1.8","D~1.8"
"5.5",0,13798.799999997,"complex","0.5","238",98,"1","D~1.0"
"2.5",100,4135.60000000894,"complex","1","117",98,"1.8","D~1.8"
"4",38.76,5654.59999999404,"complex","0.66667","314",98,"1.4","D~1.4"
"2.5",91.8,4176.29999999702,"complex","1.5","314",98,"1.8","D~1.8"
"5.5",0,14421.400000006,"complex","1","117",98,"1","D~1.0"
"4.5",15,11655.299999997,"complex","2","117",98,"1.2","D~1.2"
"4",15.34,11535,"complex","2","314",98,"1.4","D~1.4"
"5.5",0.13,4775,"complex","1.5","238",98,"1","D~1.0"
"2.5",100,7367,"complex","1","314",98,"1.8","D~1.8"
"3.5",90.08,3247.09999999404,"complex","0.5","314",98,"1.6","D~1.6"
"5.5",0,12487.1000000089,"complex","1.5","314",98,"1","D~1.0"
"3.5",49,22095,"complex","2","238",98,"1.6","D~1.6"
"4",34.26,3192.60000000894,"complex","2","238",98,"1.4","D~1.4"
"2.5",99,3149.60000000894,"complex","0.5","117",98,"1.8","D~1.8"
"4",36.24,5399.80000001192,"complex","1.5","117",98,"1.4","D~1.4"
"4.5",13.23,8294.69999998808,"complex","2","238",98,"1.2","D~1.2"
"5.5",0,14662.6999999881,"complex","2","314",98,"1","D~1.0"
"4",33.6,6759,"complex","1","117",98,"1.4","D~1.4"
"3.5",83.73,3279.39999999106,"complex","1","314",98,"1.6","D~1.6"
"4.5",25.93,6215.40000000596,"complex","1.5","117",98,"1.2","D~1.2"
"4.5",45.24,3550.09999999404,"complex","0.5","117",98,"1.2","D~1.2"
"5.5",18.25,4967.40000000596,"complex","0.66667","314",98,"1","D~1.0"
"4",64.15,3175.60000000894,"complex","0.5","117",98,"1.4","D~1.4"
"4.5",64.55,4086.20000000298,"complex","0.5","238",98,"1.2","D~1.2"
"2.5",100,3665.29999999702,"complex","1.5","238",98,"1.8","D~1.8"
"4.5",31.22,4541.40000000596,"complex","0.66667","238",98,"1.2","D~1.2"
"2.5",100,14982.700000003,"complex","2","117",98,"1.8","D~1.8"
"5.5",0.13,8103.79999999702,"complex","1.5","117",98,"1","D~1.0"
"4",24.34,6365.89999999106,"complex","0.66667","117",98,"1.4","D~1.4"
"4",26.06,2232.29999999702,"complex","1","238",98,"1.4","D~1.4"
"4.5",24.87,2782.30000001192,"complex","0.66667","117",98,"1.2","D~1.2"
"5.5",0.4,6244.89999999106,"complex","0.5","314",98,"1","D~1.0"
"3.5",92.2,6335.39999999106,"complex","0.5","238",98,"1.6","D~1.6"
"4.5",15.87,13310.299999997,"complex","1.5","314",98,"1.2","D~1.2"
"5.5",0.4,5534.90000000596,"complex","1","314",98,"1","D~1.0"
"5.5",0,9168.79999999702,"complex","2","117",98,"1","D~1.0"
"2.5",98,3032,"complex","2","314",98,"1.8","D~1.8"
"3.5",47.22,10508.400000006,"complex","1.5","314",98,"1.6","D~1.6"
"5.5",3.17,5279,"complex","0.66667","238",98,"1","D~1.0"
"4.5",3.17,4366.5,"complex","1","238",98,"1.2","D~1.2"
"3.5",73.81,4783,"complex","0.66667","314",98,"1.6","D~1.6"
"4",47.35,4262.70000000298,"complex","1.5","314",98,"1.4","D~1.4"
"5.5",0.93,3393.90000000596,"complex","2","238",98,"1","D~1.0"
"2.5",100,6036.20000000298,"complex","0.66667","117",98,"1.8","D~1.8"
"3.5",49.21,4366.10000000894,"complex","2","117",98,"1.6","D~1.6"
"2.5",100,3335.29999999702,"complex","1","238",98,"1.8","D~1.8"
"3.5",59.66,6710.29999999702,"complex","2","314",98,"1.6","D~1.6"
"2.5",100,2871.59999999404,"complex","0.5","238",98,"1.8","D~1.8"
"4",46.16,3062.90000000596,"complex","1.5","238",98,"1.4","D~1.4"
"3.5",77,6576.79999999702,"complex","0.5","117",98,"1.6","D~1.6"
"5.5",10.58,2932.19999998808,"complex","0.66667","117",98,"1","D~1.0"
"4.5",19.97,3991.40000000596,"complex","1.5","238",98,"1.2","D~1.2"
"5.5",99,10021.599999994,"appealing","0.66667","314",98,"1","D~1.0"
"4.5",78.17,7407.30000001192,"appealing","0.66667","314",98,"1.2","D~1.2"
"3.5",12.96,5767,"appealing","1.5","238",98,"1.6","D~1.6"
"2.5",0,2904.40000000596,"appealing","1","117",98,"1.8","D~1.8"
"4",0.13,3157.40000000596,"appealing","0.5","238",98,"1.4","D~1.4"
"5.5",100,15494.799999997,"appealing","1.5","238",98,"1","D~1.0"
"4.5",91.01,5182.39999999106,"appealing","1","238",98,"1.2","D~1.2"
"5.5",100,9193.5,"appealing","1","238",98,"1","D~1.0"
"3.5",45.63,4715.79999999702,"appealing","0.5","238",98,"1.6","D~1.6"
"3.5",74.87,9014.60000000894,"appealing","1.5","117",98,"1.6","D~1.6"
"2.5",0,4191.59999999404,"appealing","1","314",98,"1.8","D~1.8"
"4",63.36,5222.70000000298,"appealing","1.5","314",98,"1.4","D~1.4"
"4.5",75,30997.900000006,"appealing","0.66667","117",98,"1.2","D~1.2"
"3.5",13.49,4283.09999999404,"appealing","0.5","314",98,"1.6","D~1.6"
"5.5",100,8234.70000000298,"appealing","1.5","117",98,"1","D~1.0"
"5.5",100,5045.29999999702,"appealing","1","314",98,"1","D~1.0"
"5.5",97,12302.900000006,"appealing","0.66667","117",98,"1","D~1.0"
"4.5",53,5593.79999999702,"appealing","0.5","238",98,"1.2","D~1.2"
"3.5",39,4891.70000000298,"appealing","1","117",98,"1.6","D~1.6"
"3.5",0.13,5662.70000000298,"appealing","0.5","117",98,"1.6","D~1.6"
"4",18.65,5535.09999999404,"appealing","1","117",98,"1.4","D~1.4"
"4.5",51.46,3398.90000000596,"appealing","1","117",98,"1.2","D~1.2"
"4",78,57046.900000006,"appealing","2","117",98,"1.4","D~1.4"
"3.5",89.68,7008.19999998808,"appealing","2","314",98,"1.6","D~1.6"
"4",83.73,3205.59999999404,"appealing","1.5","117",98,"1.4","D~1.4"
"3.5",25,3257.70000000298,"appealing","0.66667","238",98,"1.6","D~1.6"
"4.5",100,3398.59999999404,"appealing","1.5","314",98,"1.2","D~1.2"
"3.5",11.51,2924.59999999404,"appealing","2","238",98,"1.6","D~1.6"
"2.5",0,3606.59999999404,"appealing","1.5","314",98,"1.8","D~1.8"
"4.5",100,8127.90000000596,"appealing","1.5","238",98,"1.2","D~1.2"
"4",51.98,8862,"appealing","2","314",98,"1.4","D~1.4"
"5.5",100,4814.5,"appealing","0.5","117",98,"1","D~1.0"
"5.5",100,6998.70000000298,"appealing","0.66667","238",98,"1","D~1.0"
"5.5",100,3950.20000000298,"appealing","0.5","314",98,"1","D~1.0"
"2.5",4.89,2954.30000001192,"appealing","1","238",98,"1.8","D~1.8"
"4",50.53,6218.5,"appealing","1","238",98,"1.4","D~1.4"
"4",40.61,9671.5,"appealing","2","238",98,"1.4","D~1.4"
"4",18.39,8374.39999999106,"appealing","0.66667","238",98,"1.4","D~1.4"
"2.5",0.53,4102.5,"appealing","1.5","117",98,"1.8","D~1.8"
"3.5",65.74,7026.79999999702,"appealing","0.66667","117",98,"1.6","D~1.6"
"2.5",0.4,6818.80000001192,"appealing","0.5","314",98,"1.8","D~1.8"
"2.5",9.52,6471.20000000298,"appealing","2","314",98,"1.8","D~1.8"
"4.5",100,4815.10000000894,"appealing","2","117",98,"1.2","D~1.2"
"3.5",56.08,3807.5,"appealing","1","238",98,"1.6","D~1.6"
"4",58.07,3399.40000000596,"appealing","1.5","238",98,"1.4","D~1.4"
"4.5",69.97,6253.70000000298,"appealing","0.66667","238",98,"1.2","D~1.2"
"4",71.69,6470.5,"appealing","1","314",98,"1.4","D~1.4"
"2.5",0,4104.79999999702,"appealing","1.5","238",98,"1.8","D~1.8"
"4",28,9525.10000000894,"appealing","0.5","117",98,"1.4","D~1.4"
"2.5",0,4726.69999998808,"appealing","0.66667","314",98,"1.8","D~1.8"
"4.5",54.89,3978.29999999702,"appealing","0.5","117",98,"1.2","D~1.2"
"4.5",100,4498.90000000596,"appealing","1.5","117",98,"1.2","D~1.2"
"4",57.8,3839.29999999702,"appealing","0.66667","314",98,"1.4","D~1.4"
"2.5",6.08,9718.5,"appealing","2","117",98,"1.8","D~1.8"
"3.5",1.59,5770.70000000298,"appealing","0.66667","314",98,"1.6","D~1.6"
"2.5",0,4290.5,"appealing","0.5","117",98,"1.8","D~1.8"
"4",81,5350.70000000298,"appealing","0.5","314",98,"1.4","D~1.4"
"2.5",0,3088.20000000298,"appealing","0.66667","238",98,"1.8","D~1.8"
"4.5",100,3357.39999999106,"appealing","2","238",98,"1.2","D~1.2"
"5.5",100,4750.90000000596,"appealing","2","238",98,"1","D~1.0"
"4.5",81,6537.90000000596,"appealing","1","314",98,"1.2","D~1.2"
"3.5",59.92,4458.70000000298,"appealing","1","314",98,"1.6","D~1.6"
"2.5",0,3821.70000000298,"appealing","0.5","238",98,"1.8","D~1.8"
"5.5",100,5839.20000000298,"appealing","1","117",98,"1","D~1.0"
"5.5",100,3998.60000000894,"appealing","1.5","314",98,"1","D~1.0"
"5.5",100,5118.40000000596,"appealing","2","117",98,"1","D~1.0"
"2.5",0,5070.29999999702,"appealing","2","238",98,"1.8","D~1.8"
"5.5",100,7698.89999999106,"appealing","2","314",98,"1","D~1.0"
"2.5",0,6320.90000000596,"appealing","0.66667","117",98,"1.8","D~1.8"
"4.5",50.93,18710.3999999911,"appealing","0.5","314",98,"1.2","D~1.2"
"3.5",30.29,2630.59999999404,"appealing","2","117",98,"1.6","D~1.6"
"4.5",74,8207.19999998808,"appealing","2","314",98,"1.2","D~1.2"
"5.5",100,8566.59999999404,"appealing","0.5","238",98,"1","D~1.0"
"3.5",18.39,9515.79999999702,"appealing","1.5","314",98,"1.6","D~1.6"
"4",49.87,5835.09999999404,"appealing","0.66667","117",98,"1.4","D~1.4"
"3.5",50,14077.5,"natural","1.5","117",98,"1.6","D~1.6"
"4",94,8331.80000001192,"natural","0.66667","238",98,"1.4","D~1.4"
"4",34.92,4097.20000000298,"natural","1","117",98,"1.4","D~1.4"
"4.5",9.79,5215,"natural","2","238",98,"1.2","D~1.2"
"4.5",25.26,5253.89999999106,"natural","1.5","238",98,"1.2","D~1.2"
"3.5",77.51,7302.90000000596,"natural","1","314",98,"1.6","D~1.6"
"4",68.25,3174.10000000894,"natural","1.5","238",98,"1.4","D~1.4"
"4.5",52.12,12663.700000003,"natural","2","314",98,"1.2","D~1.2"
"5.5",95,14306,"natural","1.5","238",98,"1","D~1.0"
"4.5",27,10082.200000003,"natural","1.5","314",98,"1.2","D~1.2"
"2.5",100,3073,"natural","1.5","238",98,"1.8","D~1.8"
"4",73.81,6449.20000000298,"natural","0.66667","117",98,"1.4","D~1.4"
"4",36,9921.79999999702,"natural","2","314",98,"1.4","D~1.4"
"3.5",52.38,27117,"natural","2","117",98,"1.6","D~1.6"
"3.5",50.26,3998.39999999106,"natural","1.5","238",98,"1.6","D~1.6"
"3.5",60.19,4198.70000000298,"natural","1","238",98,"1.6","D~1.6"
"5.5",83.73,8854.70000000298,"natural","0.5","238",98,"1","D~1.0"
"4",96,4070.59999999404,"natural","0.5","117",98,"1.4","D~1.4"
"5.5",3.97,5518.70000000298,"natural","1.5","314",98,"1","D~1.0"
"3.5",88.49,7822.89999999106,"natural","0.66667","117",98,"1.6","D~1.6"
"3.5",99,4297.80000001192,"natural","0.66667","238",98,"1.6","D~1.6"
"4",65.08,3765.30000001192,"natural","0.5","238",98,"1.4","D~1.4"
"3.5",94,7983.5,"natural","0.5","314",98,"1.6","D~1.6"
"4",94.97,3554.79999999702,"natural","0.66667","314",98,"1.4","D~1.4"
"3.5",51.72,14791.400000006,"natural","1.5","314",98,"1.6","D~1.6"
"4.5",66.67,7149.89999999106,"natural","0.5","117",98,"1.2","D~1.2"
"5.5",10.71,9579.60000000894,"natural","2","238",98,"1","D~1.0"
"5.5",22.49,7835.10000000894,"natural","0.5","314",98,"1","D~1.0"
"2.5",100,8177.69999998808,"natural","2","117",98,"1.8","D~1.8"
"5.5",15.61,16913.5,"natural","0.66667","238",98,"1","D~1.0"
"4",80.82,5448.20000000298,"natural","1.5","117",98,"1.4","D~1.4"
"4.5",35.85,3198.60000000894,"natural","2","117",98,"1.2","D~1.2"
"4.5",35,4871.19999998808,"natural","1.5","117",98,"1.2","D~1.2"
"3.5",50.79,4646.09999999404,"natural","2","238",98,"1.6","D~1.6"
"2.5",99,9030,"natural","1.5","117",98,"1.8","D~1.8"
"4",43,6830,"natural","1","238",98,"1.4","D~1.4"
"4",71,3227.79999999702,"natural","1","314",98,"1.4","D~1.4"
"2.5",100,4905.5,"natural","0.5","117",98,"1.8","D~1.8"
"4.5",41,10758.400000006,"natural","1","314",98,"1.2","D~1.2"
"5.5",20.77,5814.29999999702,"natural","0.66667","117",98,"1","D~1.0"
"5.5",46.56,17115.400000006,"natural","0.5","117",98,"1","D~1.0"
"4",75.4,3615.30000001192,"natural","0.5","314",98,"1.4","D~1.4"
"5.5",50.66,8688.70000000298,"natural","2","314",98,"1","D~1.0"
"5.5",24.74,3781.89999999106,"natural","1","238",98,"1","D~1.0"
"2.5",100,13324.700000003,"natural","0.66667","314",98,"1.8","D~1.8"
"2.5",100,4302,"natural","1","238",98,"1.8","D~1.8"
"2.5",100,4278.09999999404,"natural","2","238",98,"1.8","D~1.8"
"4.5",49.47,9718.5,"natural","0.66667","238",98,"1.2","D~1.2"
"2.5",100,2878.5,"natural","0.66667","238",98,"1.8","D~1.8"
"4.5",64.68,2662.79999999702,"natural","0.5","314",98,"1.2","D~1.2"
"5.5",10,6050.39999999106,"natural","1","314",98,"1","D~1.0"
"5.5",12.17,3466.60000000894,"natural","0.66667","314",98,"1","D~1.0"
"2.5",91,12662.299999997,"natural","1","117",98,"1.8","D~1.8"
"2.5",95,3223,"natural","0.5","238",98,"1.8","D~1.8"
"4.5",31.22,4142.59999999404,"natural","0.66667","117",98,"1.2","D~1.2"
"4",79.76,10746.200000003,"natural","2","117",98,"1.4","D~1.4"
"3.5",47.75,3450.40000000596,"natural","2","314",98,"1.6","D~1.6"
"5.5",22.88,5919,"natural","1.5","117",98,"1","D~1.0"
"2.5",94.05,2726.5,"natural","0.5","314",98,"1.8","D~1.8"
"3.5",86,2932.59999999404,"natural","0.5","238",98,"1.6","D~1.6"
"2.5",74,10057.200000003,"natural","1.5","314",98,"1.8","D~1.8"
"3.5",52.25,10557.200000003,"natural","1","117",98,"1.6","D~1.6"
"3.5",61,13997.1000000089,"natural","0.66667","314",98,"1.6","D~1.6"
"4.5",27,6015.40000000596,"natural","0.5","238",98,"1.2","D~1.2"
"4.5",44.31,2996.89999999106,"natural","0.66667","314",98,"1.2","D~1.2"
"4.5",25,12597.200000003,"natural","1","238",98,"1.2","D~1.2"
"5.5",13.49,2898.79999999702,"natural","2","117",98,"1","D~1.0"
"5.5",12.57,3324.70000000298,"natural","1","117",98,"1","D~1.0"
"4",50,3639.29999999702,"natural","1.5","314",98,"1.4","D~1.4"
"3.5",85,6133.09999999404,"natural","0.5","117",98,"1.6","D~1.6"
"4",23.68,5880.30000001192,"natural","2","238",98,"1.4","D~1.4"
"2.5",100,9284.40000000596,"natural","0.66667","117",98,"1.8","D~1.8"
"2.5",100,7410.10000000894,"natural","2","314",98,"1.8","D~1.8"
"2.5",100,6865.20000000298,"natural","1","314",98,"1.8","D~1.8"
"4.5",37.57,12069.400000006,"natural","1","117",98,"1.2","D~1.2"
"2.5",0.53,4357.60000000894,"relaxing","1.5","314",98,"1.8","D~1.8"
"2.5",0.93,2524.60000000894,"relaxing","2","238",98,"1.8","D~1.8"
"4",34.39,2265,"relaxing","1.5","238",98,"1.4","D~1.4"
"5.5",100,3966.29999999702,"relaxing","1.5","117",98,"1","D~1.0"
"3.5",23.68,5514.5,"relaxing","1","117",98,"1.6","D~1.6"
"4",80,2507.39999999106,"relaxing","1.5","314",98,"1.4","D~1.4"
"2.5",0.53,2489.90000000596,"relaxing","1","117",98,"1.8","D~1.8"
"2.5",0.4,5739.39999999106,"relaxing","0.66667","314",98,"1.8","D~1.8"
"4",87.83,2997.5,"relaxing","2","238",98,"1.4","D~1.4"
"4",58.99,3658.5,"relaxing","1.5","117",98,"1.4","D~1.4"
"4.5",40.74,5031.40000000596,"relaxing","0.5","238",98,"1.2","D~1.2"
"4.5",42.99,2386.30000001192,"relaxing","1.5","117",98,"1.2","D~1.2"
"4",47.88,1846.29999999702,"relaxing","2","117",98,"1.4","D~1.4"
"4.5",25,3166.70000000298,"relaxing","0.5","314",98,"1.2","D~1.2"
"2.5",0,3183.10000000894,"relaxing","1","314",98,"1.8","D~1.8"
"2.5",0,8344.5,"relaxing","1","238",98,"1.8","D~1.8"
"4",53.31,3565.29999999702,"relaxing","0.66667","117",98,"1.4","D~1.4"
"4",48.68,2989.40000000596,"relaxing","0.66667","314",98,"1.4","D~1.4"
"3.5",4,4390.79999999702,"relaxing","0.5","117",98,"1.6","D~1.6"
"4.5",77.91,3703.10000000894,"relaxing","2","314",98,"1.2","D~1.2"
"4.5",73.94,4079.10000000894,"relaxing","2","238",98,"1.2","D~1.2"
"2.5",0,3149.40000000596,"relaxing","0.5","314",98,"1.8","D~1.8"
"2.5",0,2413,"relaxing","2","314",98,"1.8","D~1.8"
"5.5",100,3415.29999999702,"relaxing","1.5","238",98,"1","D~1.0"
"5.5",100,2639.70000000298,"relaxing","1.5","314",98,"1","D~1.0"
"4.5",74.21,3640.5,"relaxing","1","238",98,"1.2","D~1.2"
"5.5",100,3604.20000000298,"relaxing","0.5","238",98,"1","D~1.0"
"5.5",100,3677.70000000298,"relaxing","2","314",98,"1","D~1.0"
"2.5",0,7912.90000000596,"relaxing","1.5","238",98,"1.8","D~1.8"
"4",32.54,4172.5,"relaxing","0.66667","238",98,"1.4","D~1.4"
"4.5",80.56,5278,"relaxing","0.66667","117",98,"1.2","D~1.2"
