"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4.5",74.87,19316.6000000001,"complex","0.66667","117",85,"1.2","D~1.2"
"2.5",84.52,7606.69999999972,"complex","0.5","238",85,"1.8","D~1.8"
"4.5",50.66,6638.79999999981,"complex","2","238",85,"1.2","D~1.2"
"5.5",13.89,3559.39999999991,"complex","1","238",85,"1","D~1.0"
"2.5",93,3822.5,"complex","1.5","238",85,"1.8","D~1.8"
"3.5",71.3,3823.59999999963,"complex","2","238",85,"1.6","D~1.6"
"5.5",15,4558.69999999972,"complex","2","314",85,"1","D~1.0"
"4",81.35,4111.89999999991,"complex","0.66667","117",85,"1.4","D~1.4"
"2.5",91.4,4758.80000000028,"complex","1.5","117",85,"1.8","D~1.8"
"4",84.13,6479,"complex","0.66667","238",85,"1.4","D~1.4"
"5.5",33.2,3223.39999999991,"complex","1.5","314",85,"1","D~1.0"
"4.5",92.59,3847.19999999972,"complex","0.5","238",85,"1.2","D~1.2"
"4",52.91,5487.10000000009,"complex","1.5","314",85,"1.4","D~1.4"
"4",87.3,5975.39999999991,"complex","0.5","238",85,"1.4","D~1.4"
"2.5",99,2567.39999999991,"complex","0.66667","238",85,"1.8","D~1.8"
"4.5",71,10287.2999999998,"complex","0.66667","238",85,"1.2","D~1.2"
"4",22.49,2654.79999999981,"complex","2","238",85,"1.4","D~1.4"
"5.5",43,5527.5,"complex","0.5","238",85,"1","D~1.0"
"4.5",55.69,4079.29999999981,"complex","1","314",85,"1.2","D~1.2"
"3.5",78.17,2822.5,"complex","1.5","314",85,"1.6","D~1.6"
"2.5",87.83,2463.70000000019,"complex","0.66667","117",85,"1.8","D~1.8"
"5.5",26,3416.80000000028,"complex","1.5","238",85,"1","D~1.0"
"2.5",93,3069.5,"complex","0.66667","314",85,"1.8","D~1.8"
"4.5",76.32,5831.09999999963,"complex","0.5","314",85,"1.2","D~1.2"
"4",71.3,4119.70000000019,"complex","1","238",85,"1.4","D~1.4"
"5.5",37.43,5695.39999999991,"complex","0.66667","238",85,"1","D~1.0"
"4.5",53.44,3982.80000000028,"complex","1","117",85,"1.2","D~1.2"
"4.5",52.12,2943.20000000019,"complex","1","238",85,"1.2","D~1.2"
"2.5",95,5711.39999999991,"complex","2","238",85,"1.8","D~1.8"
"3.5",98,2694.60000000009,"complex","1.5","238",85,"1.6","D~1.6"
"4",99,2919.10000000009,"complex","1","117",85,"1.4","D~1.4"
"3.5",100,4024.89999999991,"complex","1","314",85,"1.6","D~1.6"
"5.5",49.74,3142,"complex","1.5","117",85,"1","D~1.0"
"5.5",58.6,5287.5,"complex","0.66667","314",85,"1","D~1.0"
"4",96,5382.90000000037,"complex","0.5","314",85,"1.4","D~1.4"
"4",85.98,3399.39999999991,"complex","2","117",85,"1.4","D~1.4"
"5.5",66.67,3079,"complex","1","117",85,"1","D~1.0"
"5.5",57.01,2805.10000000009,"complex","0.66667","117",85,"1","D~1.0"
"4.5",91,5711.40000000037,"complex","0.5","117",85,"1.2","D~1.2"
"4",97,3143,"complex","0.5","117",85,"1.4","D~1.4"
"3.5",100,2608.60000000009,"complex","0.66667","117",85,"1.6","D~1.6"
"2.5",99,2421.60000000009,"complex","1","314",85,"1.8","D~1.8"
"5.5",44.71,3479.19999999972,"complex","1","314",85,"1","D~1.0"
"5.5",18.92,2614.89999999991,"complex","2","117",85,"1","D~1.0"
"4",70,6639.30000000028,"complex","2","314",85,"1.4","D~1.4"
"3.5",100,5887.29999999981,"complex","0.5","238",85,"1.6","D~1.6"
"3.5",100,2935.70000000019,"complex","0.66667","314",85,"1.6","D~1.6"
"4.5",82.28,3183.10000000009,"complex","2","117",85,"1.2","D~1.2"
"4",55.03,2742.39999999991,"complex","1.5","238",85,"1.4","D~1.4"
"2.5",87.7,2807.19999999972,"complex","2","117",85,"1.8","D~1.8"
"3.5",99,2398.60000000009,"complex","1","238",85,"1.6","D~1.6"
"4.5",87.96,3514.09999999963,"complex","0.66667","314",85,"1.2","D~1.2"
"4",80.69,3036.20000000019,"complex","1.5","117",85,"1.4","D~1.4"
"2.5",100,4855.30000000028,"complex","0.5","117",85,"1.8","D~1.8"
"4",85.98,4366.89999999991,"complex","1","314",85,"1.4","D~1.4"
"5.5",49,2537.39999999991,"complex","2","238",85,"1","D~1.0"
"4.5",62.04,2476.5,"complex","1.5","314",85,"1.2","D~1.2"
"5.5",63.49,5310.69999999972,"complex","0.5","314",85,"1","D~1.0"
"3.5",61.38,3127.39999999991,"complex","2","314",85,"1.6","D~1.6"
"3.5",70.9,2190.80000000028,"complex","1","117",85,"1.6","D~1.6"
"4.5",37.17,1999.10000000009,"complex","1.5","238",85,"1.2","D~1.2"
"3.5",97,4695.20000000019,"complex","0.5","314",85,"1.6","D~1.6"
"4.5",78.84,2446.69999999972,"complex","2","314",85,"1.2","D~1.2"
"5.5",54.89,2639.59999999963,"complex","0.5","117",85,"1","D~1.0"
"3.5",97,3446.79999999981,"complex","0.5","117",85,"1.6","D~1.6"
"4",90.61,2695.20000000019,"complex","0.66667","314",85,"1.4","D~1.4"
"3.5",100,3751.10000000009,"complex","0.66667","238",85,"1.6","D~1.6"
"3.5",78.44,2903.19999999972,"complex","2","117",85,"1.6","D~1.6"
"2.5",100,3647,"complex","0.5","314",85,"1.8","D~1.8"
"3.5",92.06,2415,"complex","1.5","117",85,"1.6","D~1.6"
"2.5",99,2843.69999999972,"complex","1","238",85,"1.8","D~1.8"
"2.5",100,2699.39999999991,"complex","2","314",85,"1.8","D~1.8"
"2.5",100,7390.20000000019,"complex","1","117",85,"1.8","D~1.8"
"2.5",95,4742.60000000009,"complex","1.5","314",85,"1.8","D~1.8"
"4.5",64.42,2903.39999999991,"complex","1.5","117",85,"1.2","D~1.2"
"2.5",6,10805.9000000004,"appealing","2","314",85,"1.8","D~1.8"
"5.5",72.62,2767,"appealing","1.5","238",85,"1","D~1.0"
"4",30,4153.80000000028,"appealing","0.66667","117",85,"1.4","D~1.4"
"4",19,3124.10000000009,"appealing","1","117",85,"1.4","D~1.4"
"5.5",32.67,3241.10000000009,"appealing","0.5","117",85,"1","D~1.0"
"3.5",13.36,3309.10000000009,"appealing","0.66667","314",85,"1.6","D~1.6"
"3.5",12.17,2111,"appealing","1","314",85,"1.6","D~1.6"
"3.5",64.42,4254.90000000037,"appealing","2","117",85,"1.6","D~1.6"
"4.5",71.3,3559.10000000009,"appealing","2","117",85,"1.2","D~1.2"
"4",75.93,3862.70000000019,"appealing","2","314",85,"1.4","D~1.4"
"4.5",7.41,6750.5,"appealing","0.66667","117",85,"1.2","D~1.2"
"5.5",88.89,5230.59999999963,"appealing","1.5","117",85,"1","D~1.0"
"5.5",17.46,5487.5,"appealing","0.5","314",85,"1","D~1.0"
"4",14.95,4951.20000000019,"appealing","0.5","238",85,"1.4","D~1.4"
"5.5",40.34,5982.59999999963,"appealing","1","314",85,"1","D~1.0"
"2.5",2.78,4743,"appealing","1.5","117",85,"1.8","D~1.8"
"2.5",2.65,2630.59999999963,"appealing","1","238",85,"1.8","D~1.8"
"4",9.66,3831.29999999981,"appealing","1.5","117",85,"1.4","D~1.4"
"2.5",2.51,3239.19999999972,"appealing","0.66667","238",85,"1.8","D~1.8"
"4.5",4.63,3673.70000000019,"appealing","0.5","238",85,"1.2","D~1.2"
"3.5",5.56,2108.10000000009,"appealing","1","117",85,"1.6","D~1.6"
"4.5",7.94,3342.89999999991,"appealing","1.5","238",85,"1.2","D~1.2"
"2.5",4.1,3630.70000000019,"appealing","1.5","238",85,"1.8","D~1.8"
"5.5",84.39,5751.39999999991,"appealing","2","238",85,"1","D~1.0"
"5.5",43.92,4607.40000000037,"appealing","0.66667","314",85,"1","D~1.0"
"2.5",0,4390.5,"appealing","2","238",85,"1.8","D~1.8"
"5.5",88.89,6086.80000000028,"appealing","2","314",85,"1","D~1.0"
"4",5.95,2958.79999999981,"appealing","2","238",85,"1.4","D~1.4"
"4.5",76.46,5713.69999999972,"appealing","0.5","117",85,"1.2","D~1.2"
"3.5",35.85,3204.29999999981,"appealing","0.66667","117",85,"1.6","D~1.6"
"3.5",0.93,5183.30000000028,"appealing","0.5","117",85,"1.6","D~1.6"
"5.5",89.68,2808.69999999972,"appealing","2","117",85,"1","D~1.0"
"3.5",0,3307.90000000037,"appealing","0.5","238",85,"1.6","D~1.6"
"2.5",1.19,3742.39999999991,"appealing","0.5","117",85,"1.8","D~1.8"
"4.5",5.29,3913.79999999981,"appealing","0.66667","238",85,"1.2","D~1.2"
"4.5",16.14,2404.5,"appealing","1","314",85,"1.2","D~1.2"
"3.5",14.42,2951.10000000009,"appealing","1.5","238",85,"1.6","D~1.6"
"4",6,3167,"appealing","0.5","314",85,"1.4","D~1.4"
"3.5",42.46,4255.80000000028,"appealing","1.5","117",85,"1.6","D~1.6"
"3.5",53.31,1883.29999999981,"appealing","1.5","314",85,"1.6","D~1.6"
"3.5",26.59,3337.80000000028,"appealing","1","238",85,"1.6","D~1.6"
"5.5",90.74,2814.60000000009,"appealing","1.5","314",85,"1","D~1.0"
"4",5.42,4478.5,"appealing","1.5","238",85,"1.4","D~1.4"
"3.5",0,3967.89999999991,"appealing","0.5","314",85,"1.6","D~1.6"
"4",0,3179.39999999991,"appealing","0.66667","238",85,"1.4","D~1.4"
"3.5",0,3938.70000000019,"appealing","0.66667","238",85,"1.6","D~1.6"
"4.5",0.79,2710.79999999981,"appealing","0.5","314",85,"1.2","D~1.2"
"5.5",47.35,4591.20000000019,"appealing","1","238",85,"1","D~1.0"
"4",0.4,2554.89999999991,"appealing","0.5","117",85,"1.4","D~1.4"
"4.5",2.65,2334.19999999972,"appealing","2","238",85,"1.2","D~1.2"
"4",5.16,3620.10000000009,"appealing","2","117",85,"1.4","D~1.4"
"4.5",72.88,6410.80000000028,"appealing","1","238",85,"1.2","D~1.2"
