"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",72.62,47044.8000000003,"complex","2","117",114,"1.8","D~1.8"
"3.5",59,6902.60000000009,"complex","1.5","314",114,"1.6","D~1.6"
"4.5",48.02,4686.89999999991,"complex","1.5","314",114,"1.2","D~1.2"
"2.5",86.38,6703.10000000009,"complex","1","117",114,"1.8","D~1.8"
"2.5",89,21287,"complex","1","238",114,"1.8","D~1.8"
"2.5",83.99,5910.90000000037,"complex","1.5","238",114,"1.8","D~1.8"
"3.5",74,7799.20000000019,"complex","2","314",114,"1.6","D~1.6"
"2.5",91.8,17631.1000000001,"complex","0.66667","238",114,"1.8","D~1.8"
"4",50,15975.6000000001,"complex","0.5","314",114,"1.4","D~1.4"
"4",51.46,57336,"complex","1","238",114,"1.4","D~1.4"
"3.5",58.07,7694.20000000019,"complex","0.5","238",114,"1.6","D~1.6"
"2.5",91.01,11150.8999999999,"complex","2","238",114,"1.8","D~1.8"
"5.5",24.47,5199,"complex","1","117",114,"1","D~1.0"
"4",59,6039,"complex","1","117",114,"1.4","D~1.4"
"3.5",68.25,4199.10000000009,"complex","2","117",114,"1.6","D~1.6"
"5.5",11,11575.8999999999,"complex","1.5","117",114,"1","D~1.0"
"4",42.72,4574.89999999991,"complex","1.5","314",114,"1.4","D~1.4"
"4",57,4575.5,"complex","0.66667","238",114,"1.4","D~1.4"
"5.5",12,7584.39999999991,"complex","2","117",114,"1","D~1.0"
"4",47.75,8701.20000000019,"complex","0.5","238",114,"1.4","D~1.4"
"5.5",3.57,4383.10000000009,"complex","2","238",114,"1","D~1.0"
"4.5",36.64,6015.20000000019,"complex","1","314",114,"1.2","D~1.2"
"4.5",25,7496.89999999991,"complex","2","314",114,"1.2","D~1.2"
"2.5",91.8,10493.7999999998,"complex","1.5","314",114,"1.8","D~1.8"
"2.5",100,9144.89999999991,"complex","0.5","238",114,"1.8","D~1.8"
"5.5",0,6756.89999999991,"complex","2","314",114,"1","D~1.0"
"4.5",36.9,4709.90000000037,"complex","0.66667","117",114,"1.2","D~1.2"
"4",29.76,4119.39999999991,"complex","2","238",114,"1.4","D~1.4"
"4.5",23,7552.09999999986,"complex","1.5","238",114,"1.2","D~1.2"
"4.5",41,9245.89999999944,"complex","0.5","238",114,"1.2","D~1.2"
"4.5",38,3391.10000000056,"complex","0.5","314",114,"1.2","D~1.2"
"3.5",56.61,4894.90000000037,"complex","1","117",114,"1.6","D~1.6"
"3.5",60.45,2903.10000000056,"complex","1.5","117",114,"1.6","D~1.6"
"2.5",98,8247.10000000056,"complex","1","314",114,"1.8","D~1.8"
"3.5",53.84,36758.2999999998,"complex","1","314",114,"1.6","D~1.6"
"5.5",8.2,4984.59999999963,"complex","0.66667","117",114,"1","D~1.0"
"4",51.59,6053,"complex","0.66667","314",114,"1.4","D~1.4"
"5.5",0.53,6471.29999999981,"complex","1.5","314",114,"1","D~1.0"
