"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",84,21445,"complex","0.66667","117",96,"1.4","D~1.4"
"3.5",81.08,8053.90000000037,"complex","1.5","314",96,"1.6","D~1.6"
"2.5",56,29535.2000000011,"complex","0.5","314",96,"1.8","D~1.8"
"5.5",17.86,24271.2000000011,"complex","1.5","314",96,"1","D~1.0"
"4.5",73.81,15919.1000000015,"complex","0.66667","117",96,"1.2","D~1.2"
"4",73.94,7390.69999999925,"complex","2","314",96,"1.4","D~1.4"
"4.5",77.91,9950.90000000037,"complex","0.5","238",96,"1.2","D~1.2"
"4",78.7,5910.89999999851,"complex","0.5","314",96,"1.4","D~1.4"
"3.5",66.93,6127.29999999888,"complex","1.5","117",96,"1.6","D~1.6"
"2.5",54.63,7495.29999999888,"complex","1","314",96,"1.8","D~1.8"
"4.5",49.07,25910.9000000004,"complex","2","238",96,"1.2","D~1.2"
"4.5",53.44,19423.0999999996,"complex","1.5","117",96,"1.2","D~1.2"
"3.5",50,14863,"complex","1","314",96,"1.6","D~1.6"
"2.5",28.17,14447.1999999993,"complex","0.66667","314",96,"1.8","D~1.8"
"4",35.19,13574.7000000011,"complex","2","117",96,"1.4","D~1.4"
"5.5",4.63,5064.20000000112,"complex","1","117",96,"1","D~1.0"
"5.5",5.03,9117.90000000037,"complex","2","314",96,"1","D~1.0"
"3.5",60.19,6680.70000000112,"complex","0.66667","117",96,"1.6","D~1.6"
"3.5",62.17,9766.20000000112,"complex","1","238",96,"1.6","D~1.6"
"2.5",45.5,13822.9000000004,"complex","0.66667","238",96,"1.8","D~1.8"
"2.5",44.71,5510.59999999963,"complex","0.66667","117",96,"1.8","D~1.8"
"3.5",79.89,9343.59999999963,"complex","0.5","238",96,"1.6","D~1.6"
"2.5",39.81,13870.5999999996,"complex","1","238",96,"1.8","D~1.8"
"2.5",39.68,8975.5,"complex","1","117",96,"1.8","D~1.8"
"5.5",49.6,15406.8000000007,"complex","1.5","238",96,"1","D~1.0"
"4",70.24,7135.10000000149,"complex","1","238",96,"1.4","D~1.4"
"4",79.63,8144.39999999851,"complex","1.5","314",96,"1.4","D~1.4"
"2.5",30.56,9710.09999999963,"complex","2","117",96,"1.8","D~1.8"
"5.5",39.81,17638.5999999996,"complex","1","238",96,"1","D~1.0"
"2.5",19.58,17087.5999999996,"complex","1.5","314",96,"1.8","D~1.8"
"4",65.08,11863,"complex","0.5","117",96,"1.4","D~1.4"
"2.5",9.79,22815.0999999996,"complex","1.5","117",96,"1.8","D~1.8"
"2.5",9.52,5807.19999999925,"complex","1.5","238",96,"1.8","D~1.8"
"2.5",55.42,11247.2999999989,"complex","0.5","238",96,"1.8","D~1.8"
"3.5",92.46,8150.90000000037,"complex","0.5","314",96,"1.6","D~1.6"
"5.5",30.29,13935.6000000015,"complex","0.66667","314",96,"1","D~1.0"
"2.5",49.87,7342.79999999888,"complex","0.5","117",96,"1.8","D~1.8"
"4",60.45,5310.30000000075,"complex","0.66667","314",96,"1.4","D~1.4"
"5.5",24.6,9080.60000000149,"complex","0.5","238",96,"1","D~1.0"
"3.5",36.9,8565.5,"complex","0.66667","238",96,"1.6","D~1.6"
"4",39.81,9455.5,"complex","0.5","238",96,"1.4","D~1.4"
"4.5",19.97,5935.19999999925,"complex","2","117",96,"1.2","D~1.2"
"3.5",76,15815,"complex","0.5","117",96,"1.6","D~1.6"
"5.5",31,15814.6999999993,"complex","0.5","117",96,"1","D~1.0"
"3.5",32.67,10150.7999999989,"complex","1.5","238",96,"1.6","D~1.6"
"4",42.99,8904.70000000112,"complex","0.66667","238",96,"1.4","D~1.4"
"4",35.05,16493.5,"complex","1.5","117",96,"1.4","D~1.4"
