"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",58.99,14268.1,"complex","0.66667","314",102,"1.8","D~1.8"
"4.5",24.34,6518.09999999998,"complex","0.66667","314",102,"1.2","D~1.2"
"2.5",74.6,4631.40000000002,"complex","0.5","117",102,"1.8","D~1.8"
"4",24.87,6223.59999999998,"complex","0.66667","314",102,"1.4","D~1.4"
"3.5",23.02,5894.70000000001,"complex","2","117",102,"1.6","D~1.6"
"4.5",39.42,8158.90000000002,"complex","0.5","117",102,"1.2","D~1.2"
"3.5",69.18,9183.5,"complex","0.5","117",102,"1.6","D~1.6"
"3.5",58.47,8767.09999999998,"complex","0.5","314",102,"1.6","D~1.6"
"5.5",4.89,6559.29999999999,"complex","1","117",102,"1","D~1.0"
"2.5",62.04,8951.09999999998,"complex","1.5","238",102,"1.8","D~1.8"
"3.5",48.54,11598.3,"complex","1","314",102,"1.6","D~1.6"
"5.5",9.13,7375.89999999997,"complex","0.66667","314",102,"1","D~1.0"
"4",36,9543,"complex","2","117",102,"1.4","D~1.4"
"4.5",23.94,12878.9,"complex","1","238",102,"1.2","D~1.2"
"4",19.18,9351.69999999995,"complex","1","314",102,"1.4","D~1.4"
"3.5",60.98,9231.09999999998,"complex","1","238",102,"1.6","D~1.6"
"5.5",5.42,11455,"complex","2","238",102,"1","D~1.0"
"3.5",73.02,5615.20000000001,"complex","0.5","238",102,"1.6","D~1.6"
"3.5",75.4,5199.5,"complex","0.66667","117",102,"1.6","D~1.6"
"4",71.96,7871.09999999998,"complex","0.5","117",102,"1.4","D~1.4"
"4.5",61,8463.20000000001,"complex","0.66667","117",102,"1.2","D~1.2"
"2.5",92.33,4327.30000000005,"complex","2","238",102,"1.8","D~1.8"
"3.5",73.68,6983,"complex","1.5","238",102,"1.6","D~1.6"
"4",68.39,7719.10000000009,"complex","0.5","314",102,"1.4","D~1.4"
"5.5",2,7703.39999999991,"complex","1","314",102,"1","D~1.0"
"2.5",97,2799.09999999998,"complex","0.5","314",102,"1.8","D~1.8"
"4",31,12711,"complex","2","238",102,"1.4","D~1.4"
"2.5",94,3567.09999999998,"complex","0.5","238",102,"1.8","D~1.8"
"4.5",13.62,8391.59999999998,"complex","2","238",102,"1.2","D~1.2"
"3.5",66.8,3663.40000000002,"complex","0.66667","314",102,"1.6","D~1.6"
"3.5",75.4,4431.40000000002,"complex","1","117",102,"1.6","D~1.6"
"3.5",82.67,4583.59999999998,"complex","1.5","314",102,"1.6","D~1.6"
"4.5",16,8085.39999999991,"complex","1.5","238",102,"1.2","D~1.2"
"4",45,6567.09999999998,"complex","1","238",102,"1.4","D~1.4"
"2.5",82.01,5144.70000000007,"complex","0.66667","117",102,"1.8","D~1.8"
"5.5",3.57,5453.69999999995,"complex","2","117",102,"1","D~1.0"
"4",38,10030.7,"complex","1.5","117",102,"1.4","D~1.4"
"5.5",8.2,7398.40000000002,"complex","1.5","314",102,"1","D~1.0"
"4",68.12,14526.3,"complex","0.5","238",102,"1.4","D~1.4"
"5.5",8.33,9678,"complex","0.66667","238",102,"1","D~1.0"
"4.5",50.53,8126.90000000002,"complex","0.66667","238",102,"1.2","D~1.2"
"4.5",16.01,9839.19999999995,"complex","2","117",102,"1.2","D~1.2"
"2.5",86.9,3295.09999999998,"complex","1.5","117",102,"1.8","D~1.8"
"4",52.12,7478.79999999993,"complex","2","314",102,"1.4","D~1.4"
"2.5",99,3407.59999999998,"complex","1","238",102,"1.8","D~1.8"
"4",69,7958.90000000002,"complex","0.66667","117",102,"1.4","D~1.4"
"5.5",33.07,6151.09999999998,"complex","0.5","314",102,"1","D~1.0"
"2.5",96,3335.09999999998,"complex","0.66667","238",102,"1.8","D~1.8"
"5.5",9.39,5751,"complex","1.5","238",102,"1","D~1.0"
"3.5",69.18,6526.80000000005,"complex","2","314",102,"1.6","D~1.6"
