"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",96,6766.5,"complex","0.5","117",103,"1.8","D~1.8"
"3.5",67,6206.69999999925,"complex","0.5","238",103,"1.6","D~1.6"
"3.5",81.61,5710.89999999851,"complex","0.5","314",103,"1.6","D~1.6"
"5.5",3.31,5391.29999999702,"complex","2","238",103,"1","D~1.0"
"3.5",86.11,4350.69999999925,"complex","2","117",103,"1.6","D~1.6"
"4.5",37,6936.09999999776,"complex","0.66667","238",103,"1.2","D~1.2"
"3.5",67.99,5990.5,"complex","2","238",103,"1.6","D~1.6"
"3.5",52.91,5799.39999999851,"complex","1","314",103,"1.6","D~1.6"
"4.5",46,12119.1999999993,"complex","0.5","117",103,"1.2","D~1.2"
"5.5",4.23,8758.69999999925,"complex","1.5","238",103,"1","D~1.0"
"2.5",100,3663.10000000149,"complex","1.5","238",103,"1.8","D~1.8"
"3.5",70,8079.60000000149,"complex","1","238",103,"1.6","D~1.6"
"3.5",48.54,8039,"complex","2","314",103,"1.6","D~1.6"
"4",95,5160.40000000224,"complex","0.5","117",103,"1.4","D~1.4"
"2.5",100,4949.69999999925,"complex","1","314",103,"1.8","D~1.8"
"4.5",29.23,5495.59999999776,"complex","0.66667","314",103,"1.2","D~1.2"
"4",24.87,11607,"complex","1","314",103,"1.4","D~1.4"
"2.5",98,4128.30000000075,"complex","1.5","314",103,"1.8","D~1.8"
"2.5",100,3494.39999999851,"complex","1","117",103,"1.8","D~1.8"
"4",67,7662.79999999702,"complex","0.5","238",103,"1.4","D~1.4"
"5.5",22,9351.5,"complex","0.5","117",103,"1","D~1.0"
"4.5",50.26,6575,"complex","0.66667","117",103,"1.2","D~1.2"
"5.5",12.17,5751.19999999925,"complex","0.66667","314",103,"1","D~1.0"
"4",46.56,8111.30000000075,"complex","1","117",103,"1.4","D~1.4"
"5.5",14,9911,"complex","1","117",103,"1","D~1.0"
"4",76,10119.9000000022,"complex","0.66667","238",103,"1.4","D~1.4"
"4.5",50.66,9686.19999999926,"complex","1.5","238",103,"1.2","D~1.2"
"4",87.04,4328.10000000149,"complex","0.66667","117",103,"1.4","D~1.4"
"4.5",54.5,6310,"complex","1.5","314",103,"1.2","D~1.2"
"3.5",93,7559.09999999776,"complex","0.66667","238",103,"1.6","D~1.6"
"5.5",1.98,7487.39999999851,"complex","1.5","314",103,"1","D~1.0"
"2.5",100,4286.69999999925,"complex","0.66667","117",103,"1.8","D~1.8"
"3.5",70.77,7454.90000000224,"complex","1.5","238",103,"1.6","D~1.6"
"2.5",100,3246.80000000075,"complex","0.5","238",103,"1.8","D~1.8"
"5.5",7,8071.30000000075,"complex","2","117",103,"1","D~1.0"
"5.5",21.16,4671.5,"complex","1.5","117",103,"1","D~1.0"
"4",43.92,5303.19999999925,"complex","2","238",103,"1.4","D~1.4"
"4.5",55,8663,"complex","1","238",103,"1.2","D~1.2"
"3.5",69.05,7246.79999999702,"complex","1.5","314",103,"1.6","D~1.6"
"4",86,4935.30000000075,"complex","0.5","314",103,"1.4","D~1.4"
"5.5",27.51,13375,"complex","0.66667","238",103,"1","D~1.0"
"5.5",29.89,9902.19999999926,"complex","1","314",103,"1","D~1.0"
"5.5",16.53,7422.59999999776,"complex","2","314",103,"1","D~1.0"
"3.5",90.08,5975.69999999925,"complex","0.66667","117",103,"1.6","D~1.6"
"4.5",76.32,5646.79999999702,"complex","0.5","238",103,"1.2","D~1.2"
"4",74,9110.80000000074,"complex","1","238",103,"1.4","D~1.4"
"5.5",9,6846.09999999776,"complex","1","238",103,"1","D~1.0"
"2.5",100,2815.30000000075,"complex","0.5","314",103,"1.8","D~1.8"
"4.5",84.39,5223.5,"complex","0.5","314",103,"1.2","D~1.2"
"2.5",100,2990.80000000075,"complex","2","238",103,"1.8","D~1.8"
"2.5",100,2982.60000000149,"complex","2","117",103,"1.8","D~1.8"
"3.5",94.58,3415.39999999851,"complex","0.5","117",103,"1.6","D~1.6"
"4",64.95,4431.20000000298,"complex","1.5","117",103,"1.4","D~1.4"
"4",59,5750.39999999851,"complex","2","314",103,"1.4","D~1.4"
"4.5",42.99,6281.20000000298,"complex","2","117",103,"1.2","D~1.2"
"4.5",56,7149.5,"complex","1","117",103,"1.2","D~1.2"
"2.5",100,4958.29999999702,"complex","1","238",103,"1.8","D~1.8"
"2.5",100,5046.89999999851,"complex","2","314",103,"1.8","D~1.8"
"4",53,5110.89999999851,"complex","2","117",103,"1.4","D~1.4"
"4.5",54,7966.69999999925,"complex","1.5","117",103,"1.2","D~1.2"
"5.5",28,5679,"complex","0.66667","117",103,"1","D~1.0"
"2.5",100,6927.40000000224,"complex","0.66667","238",103,"1.8","D~1.8"
"2.5",100,2870.19999999925,"complex","0.66667","314",103,"1.8","D~1.8"
"5.5",12,10115.200000003,"complex","0.5","314",103,"1","D~1.0"
"3.5",71.69,4251,"complex","0.66667","314",103,"1.6","D~1.6"
"3.5",84.13,3946.59999999776,"complex","1","117",103,"1.6","D~1.6"
"2.5",100,3099.29999999702,"complex","1.5","117",103,"1.8","D~1.8"
"3.5",94.58,9766.90000000224,"complex","1.5","117",103,"1.6","D~1.6"
"4.5",20.5,4767.40000000224,"complex","2","314",103,"1.2","D~1.2"
"4",51.72,4446.69999999925,"complex","1.5","238",103,"1.4","D~1.4"
"5.5",30.03,6383.10000000149,"complex","0.5","238",103,"1","D~1.0"
"4.5",51.59,5855.30000000075,"complex","2","238",103,"1.2","D~1.2"
"4.5",72.88,6367,"complex","1","314",103,"1.2","D~1.2"
"4",85.71,3837,"complex","0.66667","314",103,"1.4","D~1.4"
"4",70.24,5390.39999999851,"complex","1.5","314",103,"1.4","D~1.4"
"2.5",98,4246.19999999925,"interesting","0.66667","314",103,"1.8","D~1.8"
"4",63.49,7710.69999999925,"interesting","1.5","238",103,"1.4","D~1.4"
"3.5",82.94,4278.89999999851,"interesting","2","238",103,"1.6","D~1.6"
