"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",21.3,37205.599999994,"complex","1.5","238",70,"1.4","D~1.4"
"5.5",8.6,15351.400000006,"complex","0.5","117",70,"1","D~1.0"
"5.5",15,10550.5,"complex","0.66667","238",70,"1","D~1.0"
"3.5",57.94,7383.59999999404,"complex","0.66667","238",70,"1.6","D~1.6"
"2.5",82.67,8831.69999998808,"complex","0.66667","117",70,"1.8","D~1.8"
"3.5",52,5031.09999999404,"complex","1.5","238",70,"1.6","D~1.6"
"4",38.1,8327.09999999404,"complex","0.5","314",70,"1.4","D~1.4"
"3.5",70,3479.5,"complex","1.5","117",70,"1.6","D~1.6"
"4.5",22.75,7503.09999999404,"complex","0.66667","117",70,"1.2","D~1.2"
"4.5",7.14,3590.79999998212,"complex","1.5","117",70,"1.2","D~1.2"
"4",39,6775.59999999404,"complex","2","314",70,"1.4","D~1.4"
"4",36.24,3838.59999999404,"complex","1.5","117",70,"1.4","D~1.4"
"4",34.39,2751.29999998212,"complex","1","117",70,"1.4","D~1.4"
"4",53.31,4367.29999998212,"complex","1","314",70,"1.4","D~1.4"
"3.5",98,4695,"complex","1","117",70,"1.6","D~1.6"
"4.5",21,7367.69999998808,"complex","1","238",70,"1.2","D~1.2"
"4",31,3367.09999999404,"complex","0.66667","314",70,"1.4","D~1.4"
"4.5",16.4,7063,"complex","1.5","238",70,"1.2","D~1.2"
"4.5",17,5255.69999998808,"complex","0.66667","238",70,"1.2","D~1.2"
"4",54.89,3015.29999998212,"complex","0.5","117",70,"1.4","D~1.4"
"3.5",78.7,4039.10000002384,"complex","2","314",70,"1.6","D~1.6"
"3.5",92.2,3327.30000001192,"complex","0.5","117",70,"1.6","D~1.6"
"3.5",89.29,3366.89999997616,"complex","0.5","238",70,"1.6","D~1.6"
"4",48.94,2135.40000000596,"complex","1.5","314",70,"1.4","D~1.4"
"4.5",35.85,4031.59999999404,"complex","1","314",70,"1.2","D~1.2"
"2.5",100,4390.69999998808,"complex","0.5","238",70,"1.8","D~1.8"
"4",37,3671.80000001192,"complex","0.5","238",70,"1.4","D~1.4"
"2.5",100,4839.09999999404,"complex","2","314",70,"1.8","D~1.8"
"2.5",100,5126.40000000596,"complex","1","238",70,"1.8","D~1.8"
"4.5",3,5799.40000000596,"complex","1.5","314",70,"1.2","D~1.2"
"5.5",1.98,8407.59999999404,"complex","2","117",70,"1","D~1.0"
"4.5",17.59,3232,"complex","0.5","117",70,"1.2","D~1.2"
"2.5",99,2885.39999997616,"complex","0.66667","238",70,"1.8","D~1.8"
"5.5",4.23,5158.59999999404,"complex","1.5","238",70,"1","D~1.0"
"3.5",53,5583.20000001788,"complex","2","117",70,"1.6","D~1.6"
"5.5",5.56,17486.8000000119,"complex","0.5","238",70,"1","D~1.0"
"5.5",2,27510,"complex","1.5","314",70,"1","D~1.0"
"2.5",99,5454.79999998212,"complex","0.5","314",70,"1.8","D~1.8"
"3.5",87.3,26463.900000006,"complex","0.66667","117",70,"1.6","D~1.6"
"5.5",8,7510.40000000596,"complex","1","117",70,"1","D~1.0"
"4",57.67,2462.90000000596,"complex","0.66667","238",70,"1.4","D~1.4"
"5.5",0,6750.90000000596,"complex","2","314",70,"1","D~1.0"
"4",41.53,2671.59999999404,"complex","1","238",70,"1.4","D~1.4"
"5.5",50,4366.29999998212,"complex","0.5","314",70,"1","D~1.0"
"3.5",78,4223.5,"complex","2","238",70,"1.6","D~1.6"
"2.5",96,4831,"complex","1.5","117",70,"1.8","D~1.8"
"3.5",74.74,2630.69999998808,"complex","1","314",70,"1.6","D~1.6"
"2.5",93.78,2776.10000002384,"complex","2","117",70,"1.8","D~1.8"
"3.5",59.13,2291.59999999404,"complex","1","238",70,"1.6","D~1.6"
"5.5",4.37,5142.59999999404,"complex","1","238",70,"1","D~1.0"
"5.5",2.91,3177.09999999404,"complex","1","314",70,"1","D~1.0"
"2.5",98,2293.30000001192,"complex","1","314",70,"1.8","D~1.8"
"5.5",8.6,2999.40000000596,"complex","0.66667","314",70,"1","D~1.0"
"4.5",37.43,4015,"complex","0.5","238",70,"1.2","D~1.2"
"3.5",62,5255.60000002384,"complex","0.66667","314",70,"1.6","D~1.6"
"5.5",12.04,2502.60000002384,"complex","1.5","117",70,"1","D~1.0"
"2.5",85.58,3646.90000000596,"complex","1.5","314",70,"1.8","D~1.8"
"2.5",94.97,2607.40000000596,"complex","1.5","238",70,"1.8","D~1.8"
"4",62.96,2856.40000000596,"complex","0.66667","117",70,"1.4","D~1.4"
"2.5",91.67,2966.29999998212,"complex","2","238",70,"1.8","D~1.8"
"5.5",9.39,2453.59999999404,"complex","2","238",70,"1","D~1.0"
"2.5",97,3303.70000001788,"complex","0.66667","314",70,"1.8","D~1.8"
"5.5",31.61,15583.1999999881,"complex","0.66667","117",70,"1","D~1.0"
"4.5",37.43,3582.80000001192,"complex","1","117",70,"1.2","D~1.2"
"4.5",35.19,1689,"complex","2","238",70,"1.2","D~1.2"
"4.5",48,2717.09999999404,"complex","2","117",70,"1.2","D~1.2"
"3.5",92.33,2159.90000000596,"complex","0.5","314",70,"1.6","D~1.6"
"4.5",52.51,1877.5,"complex","2","314",70,"1.2","D~1.2"
"4",39.02,51719,"complex","2","117",70,"1.4","D~1.4"
"2.5",99,3986.40000000596,"complex","1","117",70,"1.8","D~1.8"
"4",45.37,3291.09999999404,"complex","2","238",70,"1.4","D~1.4"
"4.5",48,4895.70000001788,"complex","0.5","314",70,"1.2","D~1.2"
"4.5",47.35,2102,"complex","0.66667","314",70,"1.2","D~1.2"
"3.5",50.26,1742.79999998212,"complex","1.5","314",70,"1.6","D~1.6"
"2.5",98,3391.40000000596,"complex","0.5","117",70,"1.8","D~1.8"
"3.5",5.56,6886.80000001192,"relaxing","0.66667","117",70,"1.6","D~1.6"
"3.5",77,5030.5,"relaxing","2","314",70,"1.6","D~1.6"
"5.5",100,5862.90000000596,"relaxing","2","314",70,"1","D~1.0"
"3.5",3,7382.40000000596,"relaxing","1","117",70,"1.6","D~1.6"
"4.5",7.8,4326.59999999404,"relaxing","0.66667","314",70,"1.2","D~1.2"
"3.5",0,3464.20000001788,"relaxing","0.5","314",70,"1.6","D~1.6"
"3.5",17,5301.20000001788,"relaxing","1.5","314",70,"1.6","D~1.6"
"5.5",47.88,4130.09999999404,"relaxing","1.5","238",70,"1","D~1.0"
"4",47.62,4731.70000001788,"relaxing","1.5","314",70,"1.4","D~1.4"
"4.5",0,4999.89999997616,"relaxing","0.5","117",70,"1.2","D~1.2"
"2.5",0.4,2774.59999999404,"relaxing","0.66667","238",70,"1.8","D~1.8"
"5.5",28.44,4689.70000001788,"relaxing","0.66667","238",70,"1","D~1.0"
"5.5",20,2149.30000001192,"relaxing","0.66667","117",70,"1","D~1.0"
"2.5",1.32,5881.80000001192,"relaxing","2","314",70,"1.8","D~1.8"
"4.5",1,2981.5,"relaxing","0.5","238",70,"1.2","D~1.2"
"2.5",0.4,2631.09999999404,"relaxing","1.5","314",70,"1.8","D~1.8"
"5.5",11,3228.19999998808,"relaxing","0.5","238",70,"1","D~1.0"
"4.5",7.14,2782.90000000596,"relaxing","0.66667","117",70,"1.2","D~1.2"
