"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4.5",13.49,13972.6000000238,"complex","0.66667","117",52,"1.2","D~1.2"
"5.5",5.29,11717.8999999762,"complex","2","314",52,"1","D~1.0"
"2.5",96,7015.89999997616,"complex","1","117",52,"1.8","D~1.8"
"4",35.45,19598.7999999523,"complex","1.5","314",52,"1.4","D~1.4"
"4",64.55,9807.60000002384,"complex","0.66667","117",52,"1.4","D~1.4"
"3.5",35.58,8110.5,"complex","1.5","238",52,"1.6","D~1.6"
"2.5",99,9422.89999997616,"complex","0.5","238",52,"1.8","D~1.8"
"5.5",19,15280.1999999285,"complex","0.5","117",52,"1","D~1.0"
"5.5",9.26,8758.30000007153,"complex","0.5","238",52,"1","D~1.0"
"2.5",91.67,11061.9000000954,"complex","0.5","314",52,"1.8","D~1.8"
"4",42,11567.5,"complex","2","238",52,"1.4","D~1.4"
"4.5",62.43,6239,"complex","0.5","117",52,"1.2","D~1.2"
"3.5",71,19886.5,"complex","0.5","238",52,"1.6","D~1.6"
"4.5",39.68,10647.2000000477,"complex","0.66667","314",52,"1.2","D~1.2"
"4",44.18,12063.3000000715,"complex","1.5","117",52,"1.4","D~1.4"
"5.5",17.33,31110.7999999523,"complex","0.66667","314",52,"1","D~1.0"
"4.5",40,27951.4000000954,"complex","1.5","117",52,"1.2","D~1.2"
"4.5",39.02,9238.30000007153,"complex","2","117",52,"1.2","D~1.2"
"3.5",64.68,11431.4000000954,"complex","0.66667","314",52,"1.6","D~1.6"
"4.5",21,37727.7000000477,"complex","2","314",52,"1.2","D~1.2"
"4.5",36.64,23719.6999999285,"complex","1","238",52,"1.2","D~1.2"
"2.5",72,16301.6000000238,"complex","2","238",52,"1.8","D~1.8"
"3.5",54.89,36455.9000000954,"complex","1","117",52,"1.6","D~1.6"
"4.5",9.66,6222.59999990463,"complex","1.5","238",52,"1.2","D~1.2"
"2.5",63,26470.7000000477,"complex","2","314",52,"1.8","D~1.8"
"4",39.81,5487.30000007153,"complex","1","314",52,"1.4","D~1.4"
"2.5",55.82,4343,"complex","2","117",52,"1.8","D~1.8"
"4.5",14.68,9455.30000007153,"complex","2","238",52,"1.2","D~1.2"
"2.5",77.25,4695.20000004768,"complex","0.66667","314",52,"1.8","D~1.8"
"3.5",50,10654.8999999762,"complex","2","117",52,"1.6","D~1.6"
"4.5",43.52,17606.3000000715,"complex","0.66667","238",52,"1.2","D~1.2"
"2.5",99,11863.1000000238,"complex","0.5","117",52,"1.8","D~1.8"
"2.5",96,6287.10000002384,"complex","0.66667","238",52,"1.8","D~1.8"
"5.5",2,15278.8999999762,"complex","2","117",52,"1","D~1.0"
"5.5",8.33,8223.59999990463,"complex","1.5","117",52,"1","D~1.0"
"5.5",5.95,8598.80000007153,"complex","2","238",52,"1","D~1.0"
"3.5",32.67,3399.20000004768,"complex","1.5","117",52,"1.6","D~1.6"
"4",20.63,4726.69999992847,"complex","0.5","314",52,"1.4","D~1.4"
"5.5",12.96,17254.5,"complex","1.5","238",52,"1","D~1.0"
"4",48,23704.7999999523,"complex","0.5","117",52,"1.4","D~1.4"
"4",35.58,4799.10000002384,"complex","2","117",52,"1.4","D~1.4"
"3.5",61.24,4316.39999997616,"complex","0.66667","117",52,"1.6","D~1.6"
"2.5",80.56,4719.19999992847,"complex","1","238",52,"1.8","D~1.8"
"4.5",19.31,10561.1000000238,"complex","1.5","314",52,"1.2","D~1.2"
"4",26.72,5820.19999992847,"complex","1.5","238",52,"1.4","D~1.4"
"2.5",79.89,10950.8999999762,"complex","1.5","314",52,"1.8","D~1.8"
"4",65.08,10225.2000000477,"complex","0.5","238",52,"1.4","D~1.4"
"4.5",44.31,3837,"complex","1","314",52,"1.2","D~1.2"
"3.5",53,6160.39999997616,"complex","1.5","314",52,"1.6","D~1.6"
"2.5",84.52,5006,"complex","0.66667","117",52,"1.8","D~1.8"
"5.5",15.34,5678.79999995232,"complex","0.5","314",52,"1","D~1.0"
"5.5",10.05,7729.70000004768,"complex","0.66667","238",52,"1","D~1.0"
"3.5",51.72,8324,"complex","0.66667","238",52,"1.6","D~1.6"
"5.5",32,6856.59999990463,"complex","1.5","314",52,"1","D~1.0"
"4",38.62,46982.6000000238,"complex","0.66667","238",52,"1.4","D~1.4"
"5.5",15,11205.9000000954,"complex","0.66667","117",52,"1","D~1.0"
"3.5",60,11782.7000000477,"complex","1","238",52,"1.6","D~1.6"
"4",33.73,16503,"complex","2","314",52,"1.4","D~1.4"
"4.5",62.96,6215.09999990463,"complex","0.5","238",52,"1.2","D~1.2"
"5.5",23.54,7478.10000002384,"complex","1","117",52,"1","D~1.0"
"4",48,8263,"complex","1","117",52,"1.4","D~1.4"
"4",53.57,5279.19999992847,"complex","0.66667","314",52,"1.4","D~1.4"
"2.5",86,8150.60000002384,"complex","1.5","238",52,"1.8","D~1.8"
"2.5",85.05,4630.60000002384,"complex","1","314",52,"1.8","D~1.8"
"5.5",19.71,14680.4000000954,"complex","1","238",52,"1","D~1.0"
"2.5",81.35,7014,"complex","1.5","117",52,"1.8","D~1.8"
"3.5",55.82,70902.7000000477,"complex","0.5","314",52,"1.6","D~1.6"
"4.5",44.31,3870.59999990463,"complex","0.5","314",52,"1.2","D~1.2"
