"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",57.28,15582.0999999996,"complex","0.66667","238",111,"1.8","D~1.8"
"3.5",33.47,18558.8000000007,"complex","1.5","238",111,"1.6","D~1.6"
"4",26.32,4734.89999999944,"complex","2","314",111,"1.4","D~1.4"
"3.5",43.92,6031.29999999981,"complex","2","314",111,"1.6","D~1.6"
"3.5",50,5367,"complex","0.66667","238",111,"1.6","D~1.6"
"3.5",52.78,5959.60000000056,"complex","1","117",111,"1.6","D~1.6"
"4",28.84,3374.90000000037,"complex","2","117",111,"1.4","D~1.4"
"2.5",91.01,5503.09999999963,"complex","1.5","314",111,"1.8","D~1.8"
"2.5",94.58,7239.10000000056,"complex","0.5","117",111,"1.8","D~1.8"
"2.5",99,4151,"complex","0.5","238",111,"1.8","D~1.8"
"4.5",9.92,4639.79999999981,"complex","1","117",111,"1.2","D~1.2"
"5.5",2.12,3902.90000000037,"complex","2","238",111,"1","D~1.0"
"5.5",7.54,4999.5,"complex","1.5","117",111,"1","D~1.0"
"2.5",97,6126.59999999963,"complex","1","117",111,"1.8","D~1.8"
"4.5",22,8903.39999999944,"complex","0.66667","117",111,"1.2","D~1.2"
"2.5",99,5246.5,"complex","0.66667","314",111,"1.8","D~1.8"
"2.5",84.79,4183.79999999981,"complex","2","238",111,"1.8","D~1.8"
"2.5",94,2887,"complex","2","314",111,"1.8","D~1.8"
"4",33.86,4335.5,"complex","0.5","238",111,"1.4","D~1.4"
"3.5",46.3,4990.90000000037,"complex","1.5","117",111,"1.6","D~1.6"
"4.5",30.82,4256.90000000037,"complex","0.5","117",111,"1.2","D~1.2"
"3.5",61.9,5509.70000000019,"complex","0.5","117",111,"1.6","D~1.6"
"4.5",29,15215,"complex","1","238",111,"1.2","D~1.2"
"4",34.92,3375,"complex","1.5","238",111,"1.4","D~1.4"
"4",38.23,7927.90000000037,"complex","1","314",111,"1.4","D~1.4"
"5.5",20,20174.9000000004,"complex","1","314",111,"1","D~1.0"
"2.5",93.65,10623.5,"complex","0.66667","117",111,"1.8","D~1.8"
"3.5",84.92,5726.70000000019,"complex","0.66667","314",111,"1.6","D~1.6"
"4.5",33.33,3031,"complex","0.66667","238",111,"1.2","D~1.2"
"5.5",15.74,3225.60000000056,"complex","1.5","238",111,"1","D~1.0"
"4",60.98,4949.79999999981,"complex","0.5","117",111,"1.4","D~1.4"
"3.5",67.46,4934.29999999981,"complex","0.5","314",111,"1.6","D~1.6"
"4.5",54.76,4143.40000000037,"complex","0.66667","314",111,"1.2","D~1.2"
"4.5",39.81,8438.69999999925,"complex","2","117",111,"1.2","D~1.2"
