"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"3.5",50,28430,"complex","1.5","117",66,"1.6","D~1.6"
"5.5",27.12,8591,"complex","1","238",66,"1","D~1.0"
"2.5",72.22,5934.69999998808,"complex","1","238",66,"1.8","D~1.8"
"2.5",78.44,4783,"complex","1.5","117",66,"1.8","D~1.8"
"4",46.43,4879.70000000298,"complex","1.5","238",66,"1.4","D~1.4"
"3.5",53.7,9134.90000000596,"complex","0.66667","117",66,"1.6","D~1.6"
"4.5",44.97,12655.400000006,"complex","1","238",66,"1.2","D~1.2"
"4",59.26,16471.5,"complex","2","117",66,"1.4","D~1.4"
"4",70.63,10887,"complex","1","238",66,"1.4","D~1.4"
"5.5",38.62,14622.900000006,"complex","1.5","314",66,"1","D~1.0"
"5.5",40.61,9807.79999999702,"complex","2","314",66,"1","D~1.0"
"3.5",52.25,22742.6000000089,"complex","1.5","238",66,"1.6","D~1.6"
"2.5",66.01,8415.5,"complex","0.5","314",66,"1.8","D~1.8"
"4",59.79,24439.700000003,"complex","1","117",66,"1.4","D~1.4"
"3.5",56.22,6750.39999999106,"complex","0.66667","314",66,"1.6","D~1.6"
"2.5",69.71,6927.59999999404,"complex","0.66667","117",66,"1.8","D~1.8"
"4",70.24,7095,"complex","0.5","117",66,"1.4","D~1.4"
"4.5",50,16679.799999997,"complex","1","314",66,"1.2","D~1.2"
"5.5",20.63,5991.19999998808,"complex","2","238",66,"1","D~1.0"
"2.5",78.97,3094.60000000894,"complex","0.5","238",66,"1.8","D~1.8"
"4",47.62,4279.5,"complex","1.5","314",66,"1.4","D~1.4"
"2.5",82.28,4615.10000000894,"complex","1.5","314",66,"1.8","D~1.8"
"5.5",30.16,9799.30000001192,"complex","0.66667","117",66,"1","D~1.0"
"2.5",76.46,10271.5,"complex","2","314",66,"1.8","D~1.8"
"4",45,12951.099999994,"complex","2","238",66,"1.4","D~1.4"
"4",61,11454.5,"complex","0.66667","238",66,"1.4","D~1.4"
"3.5",65.34,3280.20000000298,"complex","0.66667","238",66,"1.6","D~1.6"
"2.5",83,4816.20000000298,"complex","0.66667","314",66,"1.8","D~1.8"
"5.5",61.51,22199.1000000089,"complex","0.5","117",66,"1","D~1.0"
"3.5",71.3,7653.09999999404,"complex","0.5","238",66,"1.6","D~1.6"
"4.5",62.7,6607.5,"complex","0.5","117",66,"1.2","D~1.2"
"3.5",82.01,7126.90000000596,"complex","1","117",66,"1.6","D~1.6"
"4.5",71.3,8462.89999999106,"complex","0.5","238",66,"1.2","D~1.2"
"3.5",67.06,11799.1000000089,"complex","1","314",66,"1.6","D~1.6"
"4",54.63,10391.099999994,"complex","0.66667","314",66,"1.4","D~1.4"
"3.5",55.03,4752.90000000596,"complex","1.5","314",66,"1.6","D~1.6"
"4.5",48,24389.5,"complex","0.5","314",66,"1.2","D~1.2"
"4.5",33.86,4342.29999999702,"complex","2","238",66,"1.2","D~1.2"
"4.5",42.99,3799,"complex","0.66667","238",66,"1.2","D~1.2"
"5.5",26.85,6047.5,"complex","2","117",66,"1","D~1.0"
"5.5",31.35,5375.29999999702,"complex","1","314",66,"1","D~1.0"
"3.5",74.6,5150.70000000298,"complex","0.5","314",66,"1.6","D~1.6"
"4",64.02,2831.29999999702,"complex","1","314",66,"1.4","D~1.4"
"5.5",36.51,13142.6999999881,"complex","0.5","238",66,"1","D~1.0"
"5.5",29.1,14854.8999999911,"complex","1.5","238",66,"1","D~1.0"
"4",56,6326.20000000298,"complex","0.66667","117",66,"1.4","D~1.4"
"5.5",38.36,17655.5,"complex","0.5","314",66,"1","D~1.0"
"4.5",60.58,3526.80000001192,"complex","1.5","117",66,"1.2","D~1.2"
"3.5",71,10223.1999999881,"complex","2","238",66,"1.6","D~1.6"
"2.5",89.95,4983,"complex","1","314",66,"1.8","D~1.8"
"5.5",30.42,10303.6999999881,"complex","1.5","117",66,"1","D~1.0"
"4",37.17,3448.5,"complex","0.5","238",66,"1.4","D~1.4"
"2.5",90.21,3815.09999999404,"complex","0.66667","238",66,"1.8","D~1.8"
"4.5",29,27189.599999994,"complex","1.5","238",66,"1.2","D~1.2"
"3.5",40.87,7110.60000000894,"complex","2","314",66,"1.6","D~1.6"
"2.5",89.81,9637.20000000298,"complex","0.5","117",66,"1.8","D~1.8"
"4.5",46.83,6927.39999999106,"complex","0.66667","314",66,"1.2","D~1.2"
"5.5",36.64,5902.69999998808,"complex","1","117",66,"1","D~1.0"
"4.5",44.44,6477.89999999106,"complex","2","314",66,"1.2","D~1.2"
"5.5",38.49,24679.799999997,"complex","0.66667","314",66,"1","D~1.0"
"4",58.86,2590.40000000596,"complex","0.5","314",66,"1.4","D~1.4"
"4.5",43.25,2535,"complex","2","117",66,"1.2","D~1.2"
"2.5",89.68,3663.09999999404,"complex","1","117",66,"1.8","D~1.8"
"2.5",89.42,2942.39999999106,"complex","1.5","238",66,"1.8","D~1.8"
"3.5",74.74,2631,"complex","2","117",66,"1.6","D~1.6"
"4",63,4248.70000000298,"complex","1.5","117",66,"1.4","D~1.4"
"2.5",80.56,3694,"complex","2","238",66,"1.8","D~1.8"
"3.5",44,20510.799999997,"complex","0.5","117",66,"1.6","D~1.6"
"5.5",34,36278.6999999881,"complex","0.66667","238",66,"1","D~1.0"
"4.5",44.71,3878.79999999702,"complex","0.66667","117",66,"1.2","D~1.2"
"2.5",85.98,4207.20000000298,"complex","2","117",66,"1.8","D~1.8"
"4",40.48,4582.59999999404,"complex","2","314",66,"1.4","D~1.4"
"3.5",42.33,9453.79999999702,"complex","1","238",66,"1.6","D~1.6"
"4.5",36.64,5005.40000000596,"complex","1","117",66,"1.2","D~1.2"
"4.5",34.39,6999.29999999702,"complex","1.5","314",66,"1.2","D~1.2"
"5.5",64.68,13051.3999999911,"relaxing","1","117",66,"1","D~1.0"
"3.5",10.85,5566.09999999404,"relaxing","1","238",66,"1.6","D~1.6"
"4.5",17.86,8967.20000000298,"relaxing","1","314",66,"1.2","D~1.2"
"4.5",61.9,8046.79999999702,"relaxing","2","238",66,"1.2","D~1.2"
"4",36.24,6719,"relaxing","2","117",66,"1.4","D~1.4"
"4",14.95,4686.90000000596,"relaxing","1","238",66,"1.4","D~1.4"
"4.5",2.65,2862.90000000596,"relaxing","0.5","314",66,"1.2","D~1.2"
"2.5",0,3039.5,"relaxing","0.66667","117",66,"1.8","D~1.8"
"5.5",64.29,10190.099999994,"relaxing","1.5","314",66,"1","D~1.0"
"2.5",0.13,3966.89999999106,"relaxing","0.5","314",66,"1.8","D~1.8"
"2.5",0,6807,"relaxing","1","314",66,"1.8","D~1.8"
"4.5",40,9007.20000000298,"relaxing","1","117",66,"1.2","D~1.2"
"3.5",31.48,3774.90000000596,"relaxing","1.5","117",66,"1.6","D~1.6"
"4",46.16,4959.30000001192,"relaxing","2","238",66,"1.4","D~1.4"
"4",7,5479.10000000894,"relaxing","0.66667","117",66,"1.4","D~1.4"
"5.5",44.58,8647.20000000298,"relaxing","0.5","117",66,"1","D~1.0"
"2.5",0,3351,"relaxing","0.66667","238",66,"1.8","D~1.8"
"5.5",97,24742.299999997,"relaxing","2","238",66,"1","D~1.0"
"3.5",3.04,4896.20000000298,"relaxing","1","314",66,"1.6","D~1.6"
"2.5",0,7115.40000000596,"relaxing","1.5","117",66,"1.8","D~1.8"
"4.5",38.1,5159.39999999106,"relaxing","0.5","238",66,"1.2","D~1.2"
"3.5",9.13,2910.20000000298,"relaxing","0.5","314",66,"1.6","D~1.6"
"4",37.43,5960.80000001192,"relaxing","1.5","117",66,"1.4","D~1.4"
"2.5",11,32916.799999997,"relaxing","2","314",66,"1.8","D~1.8"
"3.5",9.26,3682.5,"relaxing","1","117",66,"1.6","D~1.6"
"5.5",51.32,4934.70000000298,"relaxing","0.5","314",66,"1","D~1.0"
"5.5",87,8339.20000000298,"relaxing","1","314",66,"1","D~1.0"
"3.5",14.29,13549.200000003,"relaxing","2","314",66,"1.6","D~1.6"
"5.5",57.8,12082.299999997,"relaxing","0.66667","117",66,"1","D~1.0"
"3.5",3,6367.20000000298,"relaxing","0.66667","314",66,"1.6","D~1.6"
"3.5",0,4103.10000000894,"relaxing","0.5","117",66,"1.6","D~1.6"
"5.5",100,17974.599999994,"relaxing","2","314",66,"1","D~1.0"
"4.5",53.04,15316.900000006,"relaxing","1.5","314",66,"1.2","D~1.2"
"4.5",44.84,6799.10000000894,"relaxing","1.5","117",66,"1.2","D~1.2"
"4.5",27,11709.099999994,"relaxing","0.5","117",66,"1.2","D~1.2"
"3.5",37.96,9143.5,"relaxing","2","238",66,"1.6","D~1.6"
"3.5",9,15339.299999997,"relaxing","0.66667","238",66,"1.6","D~1.6"
"4.5",33.6,9314.20000000298,"relaxing","0.66667","314",66,"1.2","D~1.2"
"5.5",78.44,33454.1000000089,"relaxing","0.5","238",66,"1","D~1.0"
"4.5",51.32,13376.099999994,"relaxing","2","117",66,"1.2","D~1.2"
"4",21.43,6909.70000000298,"relaxing","1.5","238",66,"1.4","D~1.4"
"5.5",83.6,12171.8999999911,"relaxing","1.5","117",66,"1","D~1.0"
"5.5",100,43864.8000000119,"relaxing","1.5","238",66,"1","D~1.0"
"4",29.76,8998.90000000596,"relaxing","2","314",66,"1.4","D~1.4"
"5.5",96,16166.900000006,"relaxing","1","238",66,"1","D~1.0"
