"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",30,13124.900000006,"complex","1.5",117,"69",1.4,"D~1.4"
"5.5",42.86,20566.3000000119,"complex","2",117,"69",1,"D~1.0"
"5.5",59,11974.5,"complex","1",117,"69",1,"D~1.0"
"4.5",65.87,17487.5,"complex","0.5",314,"69",1.2,"D~1.2"
"5.5",19.84,6591.20000001788,"complex","2",314,"69",1,"D~1.0"
"4.5",75,4295.10000002384,"complex","0.66667",314,"69",1.2,"D~1.2"
"2.5",87.83,13719.1999999881,"complex","2",314,"69",1.8,"D~1.8"
"4",58,4486.69999998808,"complex","0.5",117,"69",1.4,"D~1.4"
"2.5",77.91,4080.09999999404,"complex","1",117,"69",1.8,"D~1.8"
"4.5",27.12,4454.09999999404,"complex","1.5",238,"69",1.2,"D~1.2"
"4.5",39.95,2519.30000001192,"complex","1.5",314,"69",1.2,"D~1.2"
"3.5",52,2895,"complex","1",238,"69",1.6,"D~1.6"
"2.5",70.63,6415.09999999404,"complex","1.5",314,"69",1.8,"D~1.8"
"4",54,3391.5,"complex","2",117,"69",1.4,"D~1.4"
"3.5",68.39,6023.09999999404,"complex","0.5",314,"69",1.6,"D~1.6"
"4",55.03,3663.69999998808,"complex","0.5",314,"69",1.4,"D~1.4"
"3.5",62.3,2663,"complex","0.66667",238,"69",1.6,"D~1.6"
"4",52.38,2591,"complex","0.66667",314,"69",1.4,"D~1.4"
"3.5",58.47,2663.09999999404,"complex","1.5",314,"69",1.6,"D~1.6"
"2.5",74.47,5063,"complex","1",314,"69",1.8,"D~1.8"
"4",50.93,3664,"complex","1",117,"69",1.4,"D~1.4"
"4",44.84,2584.59999999404,"complex","2",314,"69",1.4,"D~1.4"
"2.5",82,8429.70000001788,"complex","0.5",117,"69",1.8,"D~1.8"
"2.5",81.88,7758.90000000596,"complex","0.66667",117,"69",1.8,"D~1.8"
"4.5",48.81,2575.5,"complex","0.66667",117,"69",1.2,"D~1.2"
"4.5",51.85,3983.5,"complex","0.66667",238,"69",1.2,"D~1.2"
"5.5",43.92,2766.40000000596,"complex","1.5",117,"69",1,"D~1.0"
"4",62.17,2455.5,"complex","1.5",314,"69",1.4,"D~1.4"
"2.5",79.5,2374.80000001192,"complex","0.66667",314,"69",1.8,"D~1.8"
"5.5",33.99,2519.59999999404,"complex","2",238,"69",1,"D~1.0"
"4",43.25,3262.69999998808,"complex","2",238,"69",1.4,"D~1.4"
"4.5",47.35,5887.29999998212,"complex","1",117,"69",1.2,"D~1.2"
"3.5",60,3807.70000001788,"complex","2",117,"69",1.6,"D~1.6"
"4.5",37.04,3286.5,"complex","1",314,"69",1.2,"D~1.2"
"2.5",79,2903.5,"complex","0.5",238,"69",1.8,"D~1.8"
"5.5",44.71,7702.19999998808,"complex","1",314,"69",1,"D~1.0"
"5.5",50.93,4472.89999997616,"complex","0.5",314,"69",1,"D~1.0"
"3.5",60.32,5245.69999998808,"complex","2",314,"69",1.6,"D~1.6"
"3.5",64.29,4327,"complex","1",314,"69",1.6,"D~1.6"
"4",62.17,2783.09999999404,"complex","0.66667",238,"69",1.4,"D~1.4"
"4.5",43.12,3919.19999998808,"complex","2",117,"69",1.2,"D~1.2"
"3.5",49.74,3471.59999999404,"complex","0.5",238,"69",1.6,"D~1.6"
"5.5",51.98,5422.20000001788,"complex","0.66667",314,"69",1,"D~1.0"
"2.5",74,6279,"complex","1.5",117,"69",1.8,"D~1.8"
"2.5",78.84,4815.09999999404,"complex","1",238,"69",1.8,"D~1.8"
"5.5",63,13151.099999994,"complex","0.66667",238,"69",1,"D~1.0"
"4",67.72,3567,"complex","0.66667",117,"69",1.4,"D~1.4"
"5.5",47.88,2567.10000002384,"complex","1.5",314,"69",1,"D~1.0"
"3.5",65.08,2857.20000001788,"complex","1",117,"69",1.6,"D~1.6"
"5.5",71,5620.59999999404,"complex","1",238,"69",1,"D~1.0"
