"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4.5",88,46229.700000003,"complex","1",314,"63",1.2,"D~1.2"
"4.5",64.42,9487,"complex","0.5",117,"63",1.2,"D~1.2"
"3.5",42.86,12247,"complex","0.66667",314,"63",1.6,"D~1.6"
"4.5",10.32,3999.60000000894,"complex","1",117,"63",1.2,"D~1.2"
"3.5",22.75,4623.39999999106,"complex","1.5",238,"63",1.6,"D~1.6"
"5.5",2.12,3471.59999999404,"complex","1",238,"63",1,"D~1.0"
"5.5",4.63,5302.60000000894,"complex","0.66667",238,"63",1,"D~1.0"
"3.5",31.22,9871.30000001192,"complex","2",117,"63",1.6,"D~1.6"
"4",60.85,10079,"complex","0.66667",314,"63",1.4,"D~1.4"
"2.5",99,4711.29999999702,"complex","0.5",117,"63",1.8,"D~1.8"
"2.5",99,4335,"complex","2",238,"63",1.8,"D~1.8"
"4.5",5.16,8183.10000000894,"complex","2",238,"63",1.2,"D~1.2"
"3.5",92.86,6830.90000000596,"complex","0.5",314,"63",1.6,"D~1.6"
"2.5",100,4455.70000000298,"complex","1",117,"63",1.8,"D~1.8"
"2.5",100,3824.39999999106,"complex","0.5",238,"63",1.8,"D~1.8"
"2.5",100,3110.10000000894,"complex","0.5",314,"63",1.8,"D~1.8"
"3.5",54.1,6463,"complex","1",117,"63",1.6,"D~1.6"
"2.5",73.94,10903.1999999881,"complex","1.5",117,"63",1.8,"D~1.8"
"2.5",83.2,4590.40000000596,"complex","1",314,"63",1.8,"D~1.8"
"4",18.12,4591.60000000894,"complex","1",117,"63",1.4,"D~1.4"
"4",28.84,8759.09999999404,"complex","0.5",238,"63",1.4,"D~1.4"
"3.5",40.61,4783.19999998808,"complex","0.66667",117,"63",1.6,"D~1.6"
"4",25,10592.3999999911,"complex","0.5",314,"63",1.4,"D~1.4"
"4.5",1.32,3262.10000000894,"complex","2",117,"63",1.2,"D~1.2"
"5.5",2.78,4752.60000000894,"complex","0.5",314,"63",1,"D~1.0"
"4",21.69,4469.40000000596,"complex","0.5",117,"63",1.4,"D~1.4"
"5.5",2.78,5128.90000000596,"complex","2",117,"63",1,"D~1.0"
"4.5",17.86,3477.70000000298,"complex","0.5",314,"63",1.2,"D~1.2"
"4",32.14,3398.89999999106,"complex","1",314,"63",1.4,"D~1.4"
"4.5",13.1,4767.60000000894,"complex","1.5",117,"63",1.2,"D~1.2"
"2.5",86.64,4815.09999999404,"complex","0.66667",238,"63",1.8,"D~1.8"
"4.5",10.45,4936.59999999404,"complex","0.66667",314,"63",1.2,"D~1.2"
"5.5",3.7,3815.29999999702,"complex","1.5",238,"63",1,"D~1.0"
"4.5",8.73,4829.39999999106,"complex","1.5",238,"63",1.2,"D~1.2"
"5.5",0.93,4926.89999999106,"complex","2",238,"63",1,"D~1.0"
"4.5",17,7295,"complex","0.5",238,"63",1.2,"D~1.2"
"2.5",97,4295.29999999702,"complex","0.66667",117,"63",1.8,"D~1.8"
"5.5",12,5751.20000000298,"complex","0.66667",117,"63",1,"D~1.0"
"4.5",11.24,8607.60000000894,"complex","1.5",314,"63",1.2,"D~1.2"
"2.5",100,4006.59999999404,"complex","1",238,"63",1.8,"D~1.8"
"3.5",80.69,4287.40000000596,"complex","1",314,"63",1.6,"D~1.6"
"4.5",9.13,4646.80000001192,"complex","1",238,"63",1.2,"D~1.2"
"3.5",25,16023.400000006,"complex","2",238,"63",1.6,"D~1.6"
"4",30,6926.5,"complex","1.5",117,"63",1.4,"D~1.4"
"5.5",3.17,7199.40000000596,"complex","0.5",117,"63",1,"D~1.0"
"2.5",100,2622.40000000596,"complex","2",314,"63",1.8,"D~1.8"
"4",11.77,4830.89999999106,"complex","1.5",238,"63",1.4,"D~1.4"
"3.5",76,5063.29999999702,"complex","1",238,"63",1.6,"D~1.6"
"5.5",10.45,5183,"complex","1",117,"63",1,"D~1.0"
"3.5",84,9126.60000000894,"complex","2",314,"63",1.6,"D~1.6"
"4",51.46,7837.30000001192,"complex","2",117,"63",1.4,"D~1.4"
"5.5",9,7367.10000000894,"complex","0.66667",314,"63",1,"D~1.0"
"4",56.22,3526.80000001192,"complex","1.5",314,"63",1.4,"D~1.4"
"3.5",65,2799.29999999702,"complex","1.5",117,"63",1.6,"D~1.6"
"4.5",40.08,3710.70000000298,"complex","0.66667",117,"63",1.2,"D~1.2"
"4.5",29.76,7879.09999999404,"complex","2",314,"63",1.2,"D~1.2"
"5.5",18.78,12271.1999999881,"complex","1.5",314,"63",1,"D~1.0"
"2.5",93.65,2695.70000000298,"complex","2",117,"63",1.8,"D~1.8"
"2.5",100,2806.70000000298,"complex","1.5",238,"63",1.8,"D~1.8"
"4.5",50.93,6479.10000000894,"complex","0.66667",238,"63",1.2,"D~1.2"
"4",51.98,5678.69999998808,"complex","1",238,"63",1.4,"D~1.4"
"5.5",10.45,20855.299999997,"complex","1.5",117,"63",1,"D~1.0"
"2.5",97,2398.70000000298,"complex","0.66667",314,"63",1.8,"D~1.8"
"3.5",79.89,4041,"complex","1.5",314,"63",1.6,"D~1.6"
"3.5",91.53,2341,"complex","0.5",117,"63",1.6,"D~1.6"
"4",18.25,6878.79999999702,"complex","2",314,"63",1.4,"D~1.4"
