"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",10.98,17533.1000000089,"complex","0.66667",314,"68",1.4,"D~1.4"
"5.5",7.41,30663,"complex","0.5",117,"68",1,"D~1.0"
"4.5",15.21,13967,"complex","1",238,"68",1.2,"D~1.2"
"4",27.91,8783.20000000298,"complex","1",314,"68",1.4,"D~1.4"
"3.5",34.79,5639.40000000596,"complex","2",238,"68",1.6,"D~1.6"
"5.5",2.78,5983.30000001192,"complex","2",238,"68",1,"D~1.0"
"2.5",77.38,4431.40000000596,"complex","1",314,"68",1.8,"D~1.8"
"4.5",50.66,8583.29999999702,"complex","1",314,"68",1.2,"D~1.2"
"2.5",82.67,5942.79999999702,"complex","0.5",314,"68",1.8,"D~1.8"
"4.5",38.89,11375.8999999911,"complex","0.66667",238,"68",1.2,"D~1.2"
"4.5",59.52,6158.39999999106,"complex","0.5",314,"68",1.2,"D~1.2"
"2.5",83.6,9040.10000000894,"complex","0.66667",314,"68",1.8,"D~1.8"
"4.5",44.18,5085.89999999106,"complex","2",117,"68",1.2,"D~1.2"
"4",62.96,3415.40000000596,"complex","1",238,"68",1.4,"D~1.4"
"4.5",22,15646.900000006,"complex","2",238,"68",1.2,"D~1.2"
"5.5",3.31,8344,"complex","1.5",314,"68",1,"D~1.0"
"4",46.43,8631,"complex","1.5",238,"68",1.4,"D~1.4"
"5.5",11.77,8711.10000000894,"complex","0.66667",117,"68",1,"D~1.0"
"4",52.12,7983.10000000894,"complex","2",117,"68",1.4,"D~1.4"
"5.5",6.48,8687.40000000596,"complex","0.5",238,"68",1,"D~1.0"
"5.5",2.78,9222.70000000298,"complex","1.5",117,"68",1,"D~1.0"
"2.5",89.42,3750.89999999106,"complex","0.66667",117,"68",1.8,"D~1.8"
"3.5",69.31,5751.29999999702,"complex","1",238,"68",1.6,"D~1.6"
"4",68.78,5983.40000000596,"complex","0.5",117,"68",1.4,"D~1.4"
"2.5",93.78,4903.30000001192,"complex","1",238,"68",1.8,"D~1.8"
"4",69.44,7759.20000000298,"complex","0.5",238,"68",1.4,"D~1.4"
"2.5",97,3783,"complex","2",117,"68",1.8,"D~1.8"
"5.5",8.73,10471.3999999911,"complex","1",314,"68",1,"D~1.0"
"4",46.16,6943.09999999404,"complex","1",117,"68",1.4,"D~1.4"
"4",53.84,6975.59999999404,"complex","1.5",314,"68",1.4,"D~1.4"
"2.5",73,8503.70000000298,"complex","0.5",117,"68",1.8,"D~1.8"
"3.5",67.06,12199.299999997,"complex","2",314,"68",1.6,"D~1.6"
"2.5",85.85,3965.79999999702,"complex","1.5",314,"68",1.8,"D~1.8"
"4.5",35.58,9455.29999999702,"complex","0.66667",314,"68",1.2,"D~1.2"
"4.5",27,6455.39999999106,"complex","1.5",238,"68",1.2,"D~1.2"
"5.5",1.72,8183,"complex","2",314,"68",1,"D~1.0"
"5.5",6.22,10590.599999994,"complex","1",238,"68",1,"D~1.0"
"4",53.97,10958.5,"complex","0.66667",117,"68",1.4,"D~1.4"
"3.5",58.33,6367.60000000894,"complex","1",314,"68",1.6,"D~1.6"
"4.5",41.53,8949.79999999702,"complex","1.5",314,"68",1.2,"D~1.2"
"2.5",88.36,4096.20000000298,"complex","2",238,"68",1.8,"D~1.8"
"2.5",96,2999.80000001192,"complex","1",117,"68",1.8,"D~1.8"
"4",67.06,4783.10000000894,"complex","0.66667",238,"68",1.4,"D~1.4"
"2.5",78.17,3798.5,"complex","1.5",117,"68",1.8,"D~1.8"
"5.5",13.36,9750.40000000596,"complex","0.5",314,"68",1,"D~1.0"
"3.5",68.12,6798.29999999702,"complex","0.5",238,"68",1.6,"D~1.6"
"4",64.02,6638.29999999702,"complex","0.5",314,"68",1.4,"D~1.4"
"4.5",56.35,7119.20000000298,"complex","1",117,"68",1.2,"D~1.2"
"3.5",67.59,6822.09999999404,"complex","0.66667",238,"68",1.6,"D~1.6"
"4",61.64,6526.79999999702,"complex","2",314,"68",1.4,"D~1.4"
"2.5",76.59,8302.40000000596,"complex","0.5",238,"68",1.8,"D~1.8"
"4",62.43,5711.59999999404,"complex","1.5",117,"68",1.4,"D~1.4"
"4.5",65.74,8182.89999999106,"complex","0.66667",117,"68",1.2,"D~1.2"
