"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"5.5",15,14860.8999999762,"complex","0.66667",238,"58",1,"D~1.0"
"2.5",94,8142.30000007153,"complex","0.66667",314,"58",1.8,"D~1.8"
"4.5",50,11895.2000000477,"complex","1.5",314,"58",1.2,"D~1.2"
"3.5",75.13,19735.1999999285,"complex","0.66667",238,"58",1.6,"D~1.6"
"3.5",64.55,5950.59999990463,"complex","1.5",238,"58",1.6,"D~1.6"
"3.5",75,4359.30000007153,"complex","2",238,"58",1.6,"D~1.6"
"5.5",10,8551,"complex","2",238,"58",1,"D~1.0"
"4.5",50.26,47670.6999999285,"complex","1.5",238,"58",1.2,"D~1.2"
"4.5",80,7135.19999992847,"complex","0.5",314,"58",1.2,"D~1.2"
"4.5",40.48,11727.6999999285,"complex","2",117,"58",1.2,"D~1.2"
"4.5",65.34,7558.89999997616,"complex","0.66667",238,"58",1.2,"D~1.2"
"4",89.02,3383.10000002384,"complex","0.5",314,"58",1.4,"D~1.4"
"4",87.83,6535.20000004768,"complex","2",314,"58",1.4,"D~1.4"
"3.5",95,5215.10000002384,"complex","0.66667",117,"58",1.6,"D~1.6"
"2.5",100,6495.10000002384,"complex","1",117,"58",1.8,"D~1.8"
"4",60.19,5640.10000002384,"complex","0.66667",117,"58",1.4,"D~1.4"
"2.5",96,8550.29999995232,"complex","0.5",238,"58",1.8,"D~1.8"
"3.5",73.28,4934.89999997616,"complex","1",314,"58",1.6,"D~1.6"
"5.5",28.84,5519.5,"complex","1",238,"58",1,"D~1.0"
"3.5",75,7716.80000007153,"complex","0.5",238,"58",1.6,"D~1.6"
"2.5",86.64,7142.60000002384,"complex","2",238,"58",1.8,"D~1.8"
"3.5",70.24,12079,"complex","2",117,"58",1.6,"D~1.6"
"3.5",70.37,23855.5999999046,"complex","0.66667",314,"58",1.6,"D~1.6"
"4.5",45.5,7623.30000007153,"complex","2",238,"58",1.2,"D~1.2"
"2.5",75,2503.10000002384,"complex","1.5",117,"58",1.8,"D~1.8"
"4.5",83.99,3903.20000004768,"complex","0.5",117,"58",1.2,"D~1.2"
"2.5",95,3231.10000002384,"complex","1.5",314,"58",1.8,"D~1.8"
"4",25.79,3312.20000004768,"complex","0.66667",238,"58",1.4,"D~1.4"
"2.5",90.21,4221.60000002384,"complex","0.5",117,"58",1.8,"D~1.8"
"2.5",90.21,5351.09999990463,"complex","2",117,"58",1.8,"D~1.8"
"4.5",26.32,2735.39999997616,"complex","0.66667",117,"58",1.2,"D~1.2"
"5.5",25,8631.5,"complex","1.5",117,"58",1,"D~1.0"
"2.5",86,6688.29999995232,"complex","0.5",314,"58",1.8,"D~1.8"
"5.5",11.11,2621.89999997616,"complex","1",117,"58",1,"D~1.0"
"5.5",10.85,7447,"complex","2",314,"58",1,"D~1.0"
"3.5",85.58,3055.30000007153,"complex","2",314,"58",1.6,"D~1.6"
"5.5",84.92,8273.30000007153,"complex","0.66667",314,"58",1,"D~1.0"
"4",90.34,3852.79999995232,"complex","0.66667",314,"58",1.4,"D~1.4"
"5.5",16.53,2871.60000002384,"complex","0.5",238,"58",1,"D~1.0"
"5.5",35.98,4126.79999995232,"complex","1.5",314,"58",1,"D~1.0"
"4",80.29,8135.19999992847,"complex","1",117,"58",1.4,"D~1.4"
"3.5",80.16,8630.5,"complex","0.5",117,"58",1.6,"D~1.6"
"5.5",19.84,9193.69999992847,"complex","0.66667",117,"58",1,"D~1.0"
"2.5",88.89,2836.5,"complex","1.5",238,"58",1.8,"D~1.8"
"4.5",84.79,4015.20000004768,"complex","1",314,"58",1.2,"D~1.2"
