"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"3.5",69.84,9005,"complex","0.5",117,"22",1.6,"D~1.6"
"3.5",34.52,4486.5,"complex","1.5",238,"22",1.6,"D~1.6"
"5.5",4,3686.59999996424,"complex","0.5",314,"22",1,"D~1.0"
"3.5",91,3519.39999997616,"complex","2",117,"22",1.6,"D~1.6"
"5.5",4.63,4782.90000003576,"complex","2",238,"22",1,"D~1.0"
"4",49.47,2271.19999998808,"complex","2",238,"22",1.4,"D~1.4"
"5.5",27.91,1951,"complex","0.5",117,"22",1,"D~1.0"
"2.5",100,2671,"complex","1",238,"22",1.8,"D~1.8"
"2.5",100,2967.10000002384,"complex","1",314,"22",1.8,"D~1.8"
"2.5",100,2735.5,"complex","2",314,"22",1.8,"D~1.8"
"2.5",100,3294.79999995232,"complex","0.5",117,"22",1.8,"D~1.8"
"3.5",66,3439.59999996424,"complex","0.66667",117,"22",1.6,"D~1.6"
"4",43.52,2142.79999995232,"complex","2",117,"22",1.4,"D~1.4"
"4.5",17,2143.5,"complex","0.66667",117,"22",1.2,"D~1.2"
"4",57.94,2358.90000003576,"complex","2",314,"22",1.4,"D~1.4"
"4",71,3815.5,"complex","0.66667",117,"22",1.4,"D~1.4"
"5.5",8.6,4047,"complex","1.5",314,"22",1,"D~1.0"
"4.5",33.47,2983.39999997616,"complex","0.66667",314,"22",1.2,"D~1.2"
"5.5",18.25,3583.09999996424,"complex","1.5",117,"22",1,"D~1.0"
"5.5",5.42,2431.10000002384,"complex","1",238,"22",1,"D~1.0"
"4.5",35.58,2080.60000002384,"complex","1",314,"22",1.2,"D~1.2"
"3.5",73.81,2670.30000001192,"complex","1",117,"22",1.6,"D~1.6"
"4.5",57.67,1911.39999997616,"complex","0.5",117,"22",1.2,"D~1.2"
"4",68.78,2134.89999997616,"complex","0.5",117,"22",1.4,"D~1.4"
"3.5",79.1,1855.60000002384,"complex","1",238,"22",1.6,"D~1.6"
"2.5",94.05,2415.59999996424,"complex","0.5",314,"22",1.8,"D~1.8"
"5.5",18.12,2654.80000001192,"complex","0.5",238,"22",1,"D~1.0"
"4.5",34.52,1951.90000003576,"complex","2",238,"22",1.2,"D~1.2"
"5.5",12,2453.89999997616,"complex","2",117,"22",1,"D~1.0"
"4",37.7,2328.40000003576,"complex","1",314,"22",1.4,"D~1.4"
"4.5",24.21,2774.59999996424,"complex","1",238,"22",1.2,"D~1.2"
"2.5",95,3687,"complex","1.5",117,"22",1.8,"D~1.8"
"4",36.9,3022.89999997616,"complex","1.5",238,"22",1.4,"D~1.4"
"5.5",17.2,2031.09999996424,"complex","1",117,"22",1,"D~1.0"
"4.5",32.28,1607.40000003576,"complex","2",314,"22",1.2,"D~1.2"
"2.5",99,2521.39999997616,"complex","2",238,"22",1.8,"D~1.8"
"4.5",33.2,1676.80000001192,"complex","1.5",117,"22",1.2,"D~1.2"
"4.5",25.13,4479.5,"complex","1.5",238,"22",1.2,"D~1.2"
"2.5",99,2086.89999997616,"complex","0.66667",117,"22",1.8,"D~1.8"
"4",60.58,1895.40000003576,"complex","1",238,"22",1.4,"D~1.4"
"4.5",39.29,2503.30000001192,"complex","1",117,"22",1.2,"D~1.2"
"3.5",70.9,2127.5,"complex","0.66667",238,"22",1.6,"D~1.6"
"4",74.74,3776.09999996424,"complex","0.5",314,"22",1.4,"D~1.4"
"2.5",100,2982.59999996424,"complex","1.5",238,"22",1.8,"D~1.8"
"4",63.23,1766.19999998808,"complex","0.66667",314,"22",1.4,"D~1.4"
"5.5",38.36,1551.19999998808,"complex","0.66667",117,"22",1,"D~1.0"
"3.5",67.46,2119.5,"complex","0.66667",314,"22",1.6,"D~1.6"
"3.5",77.12,2383.10000002384,"complex","0.5",238,"22",1.6,"D~1.6"
"2.5",100,2592.40000003576,"complex","0.66667",238,"22",1.8,"D~1.8"
"4",65.61,2053.89999997616,"complex","1",117,"22",1.4,"D~1.4"
"4.5",33.99,1977.69999998808,"complex","0.5",314,"22",1.2,"D~1.2"
"3.5",79,3173,"complex","1",314,"22",1.6,"D~1.6"
"4.5",31.61,2055.29999995232,"complex","0.5",238,"22",1.2,"D~1.2"
"2.5",100,2352.30000001192,"complex","0.5",238,"22",1.8,"D~1.8"
"2.5",100,2566.19999998808,"complex","1",117,"22",1.8,"D~1.8"
"4.5",25,1910.5,"complex","1.5",314,"22",1.2,"D~1.2"
